Metabolite_manual;Metabolite;Metabolite_short;Lettercode;Q1_value;Mass_Pos;SE_sel;Q_sel;nopsirm;Standards
;Acetoacetic acid_(1MEOX)(1TMS)_MP_RI:1132_BMD;Acetoacetic acid_(1MEOX)(1TMS);Aceto_1MEOX_1TMS;;;;;x;
;Acetoacetic acid_(2TMS)_MP_RI:1239_GMDpred;Acetoacetic acid_(2TMS);Aceto_2TMS;;;;;x;
#Adenosine (3TMS);Adenosine (3TMS)_noIdent;Adenosine (3TMS);Adenosine_3TMS;;;;x;;
;Adenosine_(4TMS)_MP_RI:2644_IDENT:A+B;Adenosine_(4TMS);Adenosine_4TMS;;;;x;x;
;Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D;Alanine_ beta-_(2TMS);bAla_2TMS;x;;;;x;
#Alanine beta- (3TMS);Alanine beta- (3TMS);Alanine beta- (3TMS);bAla_3TMS;x;;;;x;
#Alanine (2TMS);Alanine_(2TMS)_BP_RI:1097_IDENT:B+C;Alanine_(2TMS);Ala_2TMS;x;118;x;x;;
#Alanine (3TMS);Alanine_(3TMS)_MP_RI:1367_IDENT:B+C;Alanine_(3TMS);Ala_3TMS;x;190;x;x;;
#Aspartic acid_(2TMS);Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C;Aspartic acid_(2TMS);Asp_2TMS;;249;x;x;;
#Aspartic acid_(3TMS);Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C;Aspartic acid_(3TMS)  ;Asp_3TMS;;;x;x;x;
Benzoic acid__(1TMS);Benzoic acid__(1TMS)_SP_RI:1251_GMDpred;Benzoic acid__(1TMS);Benzoic;;;;;x;
Butanoic acid_ 3-hydroxy-_(2TMS);Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENTA+B;Butanoic acid_ 3-hydroxy-_(2TMS);Butanoic_3hydr;x;;;;x;
#Butanoic acid 4-amino- (3TMS);Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C;Butanoic acid_ 4-amino-_(3TMS);Butanoic_4amino;x;;;;x;
Butanoic acid, 2-hydroxy- (2TMS);Butanoic acid, 2-hydroxy- (2TMS)_noIdent;Butanoic acid, 2-hydroxy- (2TMS);Butanoic_2hydr;;;;;x;
#Cinnamic acid_trans- (1TMS);Cinnamic acid, trans- (1TMS)_noIdent;Cinnamic acid, trans- (1TMS);CinAcid;;;;;x;
;Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 275_(4TMS);Cit;;275;x;;;
;Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 276_(4TMS);Cit;;276;;;;
;Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 277_(4TMS)  ;Cit;;277;;;;
;Citric acid 278_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 278_(4TMS);Cit;;278;;;;
;Citric acid 377_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 377_(4TMS);Cit;;377;;;;
;Citric acid 378_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 378_(4TMS) ;Cit;;378;;;;
;Citric acid 379_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 379_(4TMS) ;Cit;;379;;;;
;Citric acid 380_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 380_(4TMS) ;Cit;;380;;;;
;Citric acid 381_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid 381_(4TMS)  ;Cit;;381;;;;
#Citric acid (4TMS);Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D;Citric acid_(4TMS) ;Cit;x;273;;x;x;
;Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C;Creatinine_(3TMS);Creatinine;x;;;;x;
#Cysteine (3TMS);Cysteine_(3TMS)_MP_RI:1554_IDENT:B+D;Cysteine_(3TMS);Cysteine;;;;;x;
;Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B;Cytosine_(2TMS);Cytosine;x;;;;x;
#c10;Decane_n-_1000_Alk;c10;c10;;;;;;Alk
;Dehydroascorbic acid dimer_(2MEOX)_MP_RI:1843_GMDpred;Dehydroascorbic acid dimer;AscDimer;;;;;x;
#Dihydroxyacetone phosphate (1MEOX) (3TMS) BP;Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:1751_IDENT:A+B;DHAP_BP;DHAP_BP;x;403;x;x;;
#Dihydroxyacetone phosphate (1MEOX) (3TMS) MP;Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B;DHAP_MP;DHAP_MP;x;403;x;x;;
#c22;Docosane_n-_2200_Alk;c22;c22;;;;;;Alk
#c12;Dodecane_n-_1200_Alk;c12;c12;;;;;;Alk
#c32;Dotriacontane_n-_3200_Alk;c32;c32;;;;;;Alk
#Erythritol_(4TMS);Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B;Erythritol_(4TMS);Ery_4TMS;;;;;x;
#Ethanolamine (3TMS);Ethanolamine_(3TMS)_SP_RI:1268_GMDpred;Ethanolamine_(3TMS);EtNH3;;;x;x;x;
#Ethanolaminephosphate (4TMS);Ethanolaminephosphate (4TMS)_M000000_A177014-101-0_NA_1774.08_TRUE_VAR5_ALK;Ethanolaminephosphate (4TMS);EtNH4P;;;;;x;
#Fructose (1MEOX) (5TMS) BP;Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C;Fructose_(1MEOX)(5TMS)_BP;Frc_BP;x;220;x;x;;
#Fructose (1MEOX) (5TMS) MP;Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C;Fructose_(1MEOX)(5TMS)_MP  ;Frc_MP;x;220;x;x;;
#FBP BP;Fructose-1_6-diphosphate_(1MEOX)(7TMS)_BP_RI:2699_IDENT:B+C;Fructose-1_6-diphosphate_(1MEOX)(7TMS)_BP  ;FBP_BP;x;220;x;x;;
#FBP MP;Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP_RI:2705_IDENT:B+C;Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP  ;FBP_MP;x;220;x;x;;
;Fructose-1-phosphate_(1MEOX)(6TMS)_MP_RI:2291_IDENT:B+D;Fructose-1-phosphate_(1MEOX)(6TMS)_MP;Frc1P_MP;x;220;x;x;;
#Fructose-6-phosphate (1MEOX) (6TMS);Fructose-6-phosphate_(1MEOX)(6TMS)_MP_RI:2302_IDENT:A+C;Fructose-6-phosphate_(1MEOX)(6TMS) _MP;Frc6P_MP;x;220;x;x;;
;Fucose (1MEOX) (4TMS) MP_M000591_A173002-101-0_NA_1716.3_TRUE_VAR5_ALK;Fucose (1MEOX) (4TMS) ;Fuc;;;;;x;
;Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C;Fumaric acid 247_(2TMS);Fum;;247;x;;;
;Fumaric acid 249_(2TMS)_MP_RI:1366_IDENT:A+C;Fumaric acid 249_(2TMS) ;Fum;;249;;;;
#Fumaric acid (2TMS);Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C;Fumaric acid_(2TMS);Fum;x;245;;x;;
;Galacturonic acid_(1MEOX)(5TMS)_BP_RI:1957_IDENT:B+D;Galacturonic acid_(1MEOX)(5TMS);GalAcid;;;;;x;
;Gluconic acid_(6TMS)_MP_RI:1996_IDENT:B+C;Gluconic acid_(6TMS);GluAcid;;;;;x;
#Gluconic acid-6-phosphate_(7TMS)_MP;Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D;Gluconic acid-6-phosphate_(7TMS) ;PGA6;x;220;x;x;;
#Glucopyranose [-H20]_(4TMS);Glucopyranose [-H20]_(4TMS)_SP_RI:1763_GMDpred;Glucopyranose [-H20]_(4TMS);GlcPyr;;;;;x;
;Glucosamine_(1MEOX)(5TMS)_MP_RI:1932_IDENT:A+B;Glucosamine_(1MEOX)(5TMS);Glc_NH3;;;;;x;
#Glucose_(1MEOX)(5TMS)_BP;Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D;Glucose_(1MEOX)(5TMS_BP;Glc BP;x;220;x;x;;
#Glucose (1MEOX) (5TMS) MP;Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D;Glucose_(1MEOX)(5TMS)_MP;Glc MP;x;220;x;x;;
#Glucose-6-phosphate (1MEOX) (6TMS) MP;Glucose-1/6-phosphate_(1MEOX)(6TMS)_MP_RI:2316_IDENT:C+D/A+B;Glucose-1/6-phosphate_(1MEOX)(6TMS)  ;Glc6P_MP;x;220;x;x;;
#Glucose-6-phosphate (1MEOX) (6TMS) BP;Glucose-6-phosphate_(1MEOX)(6TMS)_BP_RI:2317_IDENT:A+B;Glucose-6-phosphate_(1MEOX)(6TMS);Glc6P_BP;x;220;x;x;;
;Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B;Glutamic acid_(2TMS);Glu_2TMS;x;281;x;x;;
#Glutamic acid (3TMS);Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B;Glutamic acid_(3TMS) ;Glu_3TMS;x;353;x;x;;
;Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D;Glutamine_(3TMS);Gln_3TMS;x;352;x;x;;
#Glutaric acid_ 2-hydroxy-_(3TMS);Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D;Glutaric acid_ 2-hydroxy-_(3TMS);Glut_2hydroxy;x;;x;x;;
;Glutaric acid_ 2-oxo- 200_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C;Glutaric acid_ 2-oxo- 200_(1MEOX)(2TMS)  ;Glut_2oxo;;200;x;;;
;Glutaric acid_ 2-oxo- 203_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C;Glutaric acid_ 2-oxo- 203_(1MEOX)(2TMS)  ;Glut_2oxo;;203;;;;
;Glutaric acid_ 2-oxo- 290_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C;Glutaric acid_ 2-oxo- 290_(1MEOX)(2TMS)  ;Glut_2oxo;;290;;;;
