Metabolite,Mass_mz,LI_MID
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,116,m0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,118,minc
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,188,m0
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,190,minc
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,245,m0
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,249,minc
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,273,m0
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,275,minc
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,273,m0
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,276,minc
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,273,m0
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,277,minc
Citric acid 278_(4TMS)_MP_RI:1814_IDENT:B+D,273,m0
Citric acid 278_(4TMS)_MP_RI:1814_IDENT:B+D,278,minc
Citric acid 377_(4TMS)_MP_RI:1814_IDENT:B+D,375,m0
Citric acid 377_(4TMS)_MP_RI:1814_IDENT:B+D,377,minc
Citric acid 378_(4TMS)_MP_RI:1814_IDENT:B+D,375,m0
Citric acid 378_(4TMS)_MP_RI:1814_IDENT:B+D,378,minc
Citric acid 379_(4TMS)_MP_RI:1814_IDENT:B+D,375,m0
Citric acid 379_(4TMS)_MP_RI:1814_IDENT:B+D,379,minc
Citric acid 380_(4TMS)_MP_RI:1814_IDENT:B+D,375,m0
Citric acid 380_(4TMS)_MP_RI:1814_IDENT:B+D,380,minc
Citric acid 381_(4TMS)_MP_RI:1814_IDENT:B+D,375,m0
Citric acid 381_(4TMS)_MP_RI:1814_IDENT:B+D,381,minc
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:1751_IDENT:A+B,400,m0
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:1751_IDENT:A+B,403,minc
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B,400,m0
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B,403,minc
Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C,217,m0
Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C,220,minc
Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP_RI:2705_IDENT:B+C,217,m0
Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP_RI:2705_IDENT:B+C,220,minc
Fructose-6-phosphate_(1MEOX)(6TMS)_MP_RI:2302_IDENT:A+C,217,m0
Fructose-6-phosphate_(1MEOX)(6TMS)_MP_RI:2302_IDENT:A+C,220,minc
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,245,m0
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,247,minc
Fumaric acid 249_(2TMS)_MP_RI:1366_IDENT:A+C,245,m0
Fumaric acid 249_(2TMS)_MP_RI:1366_IDENT:A+C,249,minc
Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D,217,m0
Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D,220,minc
