Metabolite,Mass.m.z.,BackupPeakArea,BackupMID
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,188,4960,0.8005
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,189,876,0.1414
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,190,307,0.0495
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,191,53,0.0086
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,116,2616179,0.855298384
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,117,323019,0.105603488
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,118,99834,0.032638386
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,119,19759,0.006459742
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,188,4960,0.8005
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,189,876,0.1414
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,190,307,0.0495
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,191,53,0.0086
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,273,328032,0.7324
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,274,77555,0.1732
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,275,34697,0.0775
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,276,5753,0.0128
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,277,1262,0.0028
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,278,362,0.0008
Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D,279,237,0.0005
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,273,328032,0.7324
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,274,77555,0.1732
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,275,34697,0.0775
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,276,5753,0.0128
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,277,1262,0.0028
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,278,362,0.0008
Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D,279,237,0.0005
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,273,328032,0.7324
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,274,77555,0.1732
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,275,34697,0.0775
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,276,5753,0.0128
Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D,277,1262,0.0028
