Letter_Derivate,Quant1_v4,Quant1_v3
2HG,57270,57270
2OG,34220,34220
3PGA,43480,43480
A,7400,7400
Adenosine,18710,18710
Ala,134700,134700
Arg,11480,11480
Asn,22710,22710
Asp,15030,15030
bAla,11220,11220
Butanoic_3hydr,28820,28820
Butanoic_4amino,9700,9700
C,9000,9000
Cit,52050,52050
Creatinine,44200,44200
Cys,8250,8250
DHAP,105000,88180
Ery,81890,81890
ETA4P,43480,0
FBP,70000,54290
Frc,83260,83260
Frc1P,30000,12640
Frc6P,13150,13150
Fum,34460,34460
GA3P,64670,64670
Glc,400000,388540
GlcPyr,400000,388540
Glc1/6P,11890,11890
Glc6P,54000,32880
GlcN,4640,4640
Gln,136860,136860
Glu,135930,135930
GlutAcid,30280,30280
Gly,66600,66600
Glyc,65150,65150
Glyc3P,27000,27000
GlycAcid,15990,15990
GMP,35000,20110
Hypotaurine,18320,18320
Inosine,11180,11180
Iso,62000,38120
Lac,446190,446190
Leu,91480,91480
Lys,20530,20530
Mal,44750,44750
Met,12000,6700
myo-Ino,55510,55510
Orn,6210,0
Patho,16790,16790
PEP,50000,15040
PGA6,20000,14620
Phe,48430,48430
Pro,60800,60800
Putr,6210,6210
Pyr,290800,290800
Pyroglut,150000,92940
Rib5P,120000,91210
Ribose,19980,19980
Ribose_2-deoxy,7460,7460
Ribu5P,120000,0
Scr,10000,0
Ser,114190,114190
Sor,40000,0
Suc,42340,42340
Thr,167900,167900
Trp,9790,9790
Tyr,11040,11040
U,26760,26760
UMP,120000,81490
Val,42680,42680
