name,mass,ri,row load,e18184_1.txt,e18184_2.txt,e18184_3.txt,e18184_4.txt,e18184_5.txt,e18184_6.txt,e18184_7.txt,e18184_8.txt,e18184_9.txt,e18184_10.txt,e18184_11.txt,e18184_12.txt,e18184_13.txt,e18184_14.txt,e18184_15.txt,e18184_16.txt,e18184_17.txt,e18184_18.txt,e18184_19.txt,e18184_20.txt,e18184_21.txt,e18184_22.txt,e18184_23.txt,e18184_24.txt,e18184_25.txt,e18184_26.txt,e18184_27.txt,e18184_28.txt,e18184_29.txt,e18184_30.txt,e18184_31.txt,e18184_32.txt,e18184_33.txt,e18184_34.txt,e18184_35.txt,e18184_36.txt,e18184_37.txt,e18184_38.txt,e18184_39.txt,e18184_40.txt,e18184_41.txt,e18184_42.txt,e18184_43.txt,e18184_44.txt,e18184_45.txt,e18184_46.txt,e18184_47.txt,e18184_48.txt,e18184_49.txt,e18184_50.txt,e18184_51.txt,e18184_52.txt,e18184_53.txt,e18184_54.txt,e18184_55.txt,e18184_56.txt,e18184_57.txt,e18184_58.txt,e18184_59.txt,e18184_60.txt,e18184_61.txt,e18184_62.txt,e18184_63.txt,e18184_64.txt,e18184_65.txt
#c10,71,1000.6,0.8923077,,6.85E+07,7.04E+07,6.81E+07,7.05E+07,6.78E+07,7.05E+07,6.64E+07,6.66E+07,8.32E+07,6.24E+07,6.58E+07,6.11E+07,6.26E+07,,6.39E+07,8.51E+07,6.46E+07,6.21E+07,6.58E+07,6.31E+07,6.35E+07,6.36E+07,8.54E+07,6.86E+07,6.79E+07,6.56E+07,6.44E+07,6.44E+07,8.42E+07,6.36E+07,6.45E+07,6.06E+07,6.14E+07,,8.12E+07,6.13E+07,,,6.38E+07,6.62E+07,8.23E+07,6.32E+07,6.46E+07,5.62E+07,,6.36E+07,8.08E+07,6.51E+07,6.42E+07,,6.10E+07,6.54E+07,8.11E+07,6.56E+07,6.44E+07,6.63E+07,6.38E+07,6.45E+07,8.24E+07,8.03E+07,8.08E+07,5.86E+07,7.79E+07,8.03E+07
#Lactic acid_(2TMS)_MP_RI:1049_IDENT:B+C,117,1052.6,0.8769231,,2.30E+07,3.51E+07,4.41E+07,9.95E+07,2.05E+08,3.31E+08,,,580411,3.00E+08,1.71E+08,7.25E+07,1.32E+08,,5.44E+07,552150,,3.99E+08,6.64E+07,1.30E+08,7.32E+07,2.39E+08,531948,,8.97E+07,1.37E+08,4.93E+07,2.02E+08,569139,2.38E+08,8.01E+07,1.89E+08,1.11E+08,,525748,1.14E+08,,,5.91E+07,5.58E+07,515776,1.65E+08,2.41E+08,2.30E+08,,2.63E+08,558822,2.62E+08,3.87E+08,,2.62E+08,6.84E+07,589045,2.81E+08,4.45E+08,7.85E+07,5.59E+07,6.04E+07,583767,546055,557234,1.02E+08,564525,600842
#Lactic acid_(2TMS)_MP_RI:1049_IDENT:B+C,101,1052.6,0.6769231,,1676463,2687062,3476772,7951765,1.61E+07,2.55E+07,9.58E+07,1.91E+08,,2.28E+07,1.35E+07,1.97E+07,2.52E+07,,1732550,,5.03E+07,3.06E+07,1.26E+07,1.04E+07,6007087,1.97E+07,,,2.14E+07,2.12E+07,1.15E+07,2.42E+07,,2.90E+07,1.94E+07,1.72E+07,9950469,,,1.47E+07,,,1.32E+07,1.28E+07,,2.01E+07,2.79E+07,1.89E+07,,2.48E+07,,3.19E+07,4.03E+07,,3.04E+07,4603051,,2.47E+07,3.48E+07,1.85E+07,1.62E+07,4144714,,,,1.96E+07,,
#Glycolic acid (2TMS)_M000000_A106002-101-0_NA_1060.28_PRED_VAR5_ALK,147,1072.8,0.6923077,,471607,723633,1325718,602830,6339839,2116696,3093173,1324226,,6006897,5447617,6605196,5056701,,4582528,,6732883,4198363,5095317,2104628,2731080,3938226,,1205270,4908053,3427420,1658201,3665038,,7195681,3713569,4929231,7483229,,,3261564,,,5999628,2493982,,4515872,4827297,4851703,,5298025,,4601562,2925089,,2777384,7167131,,3315251,2427421,2117971,2686641,3705857,,,,2619067,,
#Alanine (2TMS)_M000000_A110001-101-0_NA_1087.41_TRUE_VAR5_ALK,116,1093.8,0.6923077,,986472,1914391,3267665,8442306,1.73E+07,2.50E+07,9.98E+07,,69666,7326211,5624338,1.07E+07,6904039,,8912838,,3.45E+07,1.89E+07,7348158,4412606,5304018,1.49E+07,,,1.35E+07,1.13E+07,8006250,2.21E+07,,3.81E+07,1.54E+07,4.37E+07,1407570,,,9810043,,,9783676,1.30E+07,,1.73E+07,2.47E+07,8225373,,1.61E+07,,1.70E+07,3.58E+07,,2.33E+07,1.28E+07,,1.50E+07,2.10E+07,1.10E+07,8812601,9364624,,,,6019800,,
#Hydroxylamine (3TMS)_M000416_A110002-101-0_NA_1105.63_PRED_VAR5_ALK,146,1105,0.6769231,,5.25E+07,5.25E+07,5.62E+07,4.93E+07,4.75E+07,4.65E+07,3.85E+07,3.44E+07,,4.16E+07,4.32E+07,4.00E+07,4.05E+07,,4.30E+07,,3.42E+07,3.47E+07,4.16E+07,4.23E+07,4.36E+07,3.83E+07,,,3.65E+07,3.37E+07,4.11E+07,3.61E+07,,3.38E+07,3.86E+07,3.34E+07,2.82E+07,,,3.68E+07,,,3.46E+07,3.41E+07,,3.25E+07,2.93E+07,3.23E+07,,2.27E+07,,2.83E+07,2.73E+07,,3.74E+07,2.45E+07,,3.09E+07,3.28E+07,3.50E+07,2.92E+07,2.87E+07,,,,3.22E+07,,
#NA_M000000_A114002-101-0_NA_1123.41_PRED_VAR5_ALK,100,1135.8,0.6769231,,4.75E+07,5.34E+07,6.84E+07,5.22E+07,6.05E+07,9.35E+07,8.74E+07,1.46E+08,,7.10E+07,8.66E+07,9.57E+07,1.55E+08,,7.48E+07,,1.09E+08,9.80E+07,7.02E+07,8.93E+07,8.56E+07,8.26E+07,,,1.34E+08,1.45E+08,9.23E+07,1.46E+08,,1.74E+08,1.32E+08,1.07E+08,8.42E+07,,,1.19E+08,,,1.14E+08,1.14E+08,,1.31E+08,,8.33E+07,,1.01E+08,,8.09E+07,7.15E+07,,1.16E+08,9.10E+07,,1.14E+08,1.05E+08,9.77E+07,1.01E+08,1.10E+08,,,,9.81E+07,,
#Leucine (1TMS)_M000025_A118001-101-0_NA_1151.06_TRUE_VAR5_ALK,86,1153.2,0.6769231,,1623011,3246361,5645671,1.28E+07,2.45E+07,3.12E+07,1.26E+08,,,5079608,7481679,9441893,6911068,,4365357,,1.67E+07,8531169,3110571,2332012,2479900,8904683,,,1.08E+07,6083497,4935245,9715705,,1.43E+07,5957764,7167329,5858804,,,4894357,,,3008587,7901715,,1.73E+07,2.22E+07,9216528,,1.71E+07,,1.83E+07,2.89E+07,,2.62E+07,1.30E+07,,1.76E+07,1.33E+07,7642416,6513892,8193614,,,,8886083,,
"#Butanoic acid, 3-hydroxy-_(2TMS)_MP_RI:1153_IDENTA+B",191,1154.9,0.6923077,,194717,368309,668845,1592670,3500682,5608343,2.09E+07,4.55E+07,,8924650,4846854,7643113,2271495,,2740945,,1023413,428284,124566,347850,299789,448815,,3567814,414362,6074307,469725,1804633,,1012153,1.20E+07,1615983,4673915,,,1.04E+07,,,450986,1592543,,1273652,2274956,1943522,,1359826,,2752737,3228155,,1455649,2426476,,1639648,1244876,5631908,2.30E+07,8504565,,,,743127,,
#Proline_(1TMS)_BP_RI:1171_IDENT:A+B,103,1174.1,0.6769231,,365981,456754,742340,2173286,2832266,4346113,1.51E+07,3.14E+07,,543201,892645,1122363,469499,,401600,,3677675,1907777,620756,378337,458482,1971482,,,1891598,1001649,1407641,2708569,,5634044,1027936,4470381,2328366,,,653096,,,558599,1553406,,3035701,4809924,1528830,,3786493,,3182092,7465674,,4876446,1794123,,2832356,3298260,1354915,884304,1087944,,,,1320470,,
