name,mass,ri,row load,f16328ba_1.txt,f16328ba_2.txt,f16328ba_3.txt,f16328ba_4.txt,f16328ba_5.txt,f16328ba_6.txt,f16328ba_7.txt,f16328ba_8.txt,f16328ba_9.txt,f16328ba_10.txt,f16328ba_11.txt,f16328ba_12.txt,f16328ba_13.txt,f16328ba_14.txt,f16328ba_15.txt,f16328ba_16.txt,f16328ba_17.txt,f16328ba_18.txt,f16328ba_19.txt,f16328ba_20.txt,f16328ba_21.txt,f16328ba_22.txt,f16328ba_23.txt,f16328ba_24.txt,f16328ba_25.txt,f16328ba_26.txt,f16328ba_27.txt,f16328ba_28.txt,f16328ba_29.txt,f16328ba_30.txt,f16328ba_31.txt,f16328ba_32.txt,f16328ba_33.txt,f16328ba_34.txt,f16328ba_35.txt,f16328ba_36.txt,f16328ba_37.txt,f16328ba_38.txt,f16328ba_39.txt,f16328ba_40.txt,f16328ba_41.txt,f16328ba_42.txt,f16328ba_43.txt,f16328ba_44.txt,f16328ba_45.txt,f16328ba_46.txt,f16328ba_47.txt,f16328ba_48.txt,f16328ba_49.txt
#c10,73,994.16,0.367346942,,,,,,,,,,138956,,,,26504,,,14687,,6287.6,,,64558,,,2115.3,64381,54734,,76006,,70091,,,,44992,,11662,,12816,,34933,176193,20052,,,39105,8833.9,,
#c12,73,1200,0.938775539,,1539844,366532,,595143,,1483715,178098,158859,60394,201080,172307,668178,668138,248473,1496221,226766,117393,222561,1006122,226485,583190,955246,1024381,136308,184201,512480,1033040,160590,156308,173733,997168,70691,182600,636086,991226,919663,100962,518304,1011426,174040,41336,193270,1001160,156261,190345,62854,1009105,989202
#c15,73,1499.6,0.979591846,4.59E+07,4.73E+07,2.25E+07,16094,3.93E+07,,4.69E+07,3.81E+07,3.66E+07,3.46E+07,3.70E+07,4.42E+07,4.75E+07,4.06E+07,2.95E+07,4.60E+07,3.83E+07,3.38E+07,3.35E+07,3.53E+07,3.66E+07,3.40E+07,3.46E+07,3.74E+07,3.66E+07,3.55E+07,3.41E+07,3.91E+07,3.76E+07,3.75E+07,3.94E+07,3.93E+07,4.09E+07,3.97E+07,3.30E+07,3.89E+07,3.58E+07,3.36E+07,3.40E+07,3.99E+07,3.61E+07,3.52E+07,3.65E+07,4.09E+07,3.83E+07,3.88E+07,3.96E+07,3.91E+07,4.30E+07
#c17,73,1699.6,0.9591837,5.78E+07,5.97E+07,4.95E+07,,4.72E+07,,6.08E+07,4.54E+07,4.47E+07,4.32E+07,4.59E+07,5.10E+07,5.40E+07,5.16E+07,5.08E+07,5.80E+07,4.70E+07,4.21E+07,4.21E+07,3.94E+07,4.45E+07,4.18E+07,4.39E+07,3.99E+07,4.38E+07,4.36E+07,4.17E+07,4.11E+07,4.52E+07,4.66E+07,4.79E+07,4.08E+07,4.96E+07,4.87E+07,3.95E+07,4.26E+07,4.24E+07,4.04E+07,4.13E+07,4.24E+07,4.23E+07,4.26E+07,4.41E+07,4.33E+07,4.54E+07,4.74E+07,4.69E+07,4.28E+07,4.54E+07
#c19,73,1904.7,0.4489796,6.28E+07,5.89E+07,4.95E+07,,4.85E+07,,5.91E+07,4.61E+07,4.52E+07,4.42E+07,4.93E+07,5.66E+07,,4.34E+07,4.05E+07,5.85E+07,,,,3.72E+07,,,,3.81E+07,,,,3.88E+07,,,,3.82E+07,,,,4.01E+07,,,,3.97E+07,,,,4.06E+07,,,,4.05E+07,4.28E+07
#c22,73,2202.9,1,7.15E+07,6.61E+07,4.89E+07,100663,4.98E+07,58317,6.70E+07,5.28E+07,5.00E+07,4.81E+07,5.10E+07,5.63E+07,5.57E+07,5.25E+07,5.26E+07,6.60E+07,4.01E+07,4.01E+07,4.13E+07,4.02E+07,4.28E+07,4.19E+07,4.38E+07,4.06E+07,4.32E+07,4.30E+07,4.18E+07,4.12E+07,4.38E+07,4.57E+07,4.77E+07,4.01E+07,4.64E+07,4.71E+07,3.88E+07,4.26E+07,3.99E+07,3.85E+07,4.00E+07,4.20E+07,4.01E+07,3.98E+07,4.17E+07,4.29E+07,4.18E+07,4.50E+07,4.50E+07,4.28E+07,4.52E+07
#c28,73,2810.1,1,5.66E+07,5.73E+07,4.34E+07,210453,4.45E+07,146136,5.66E+07,4.64E+07,4.37E+07,4.05E+07,4.25E+07,4.72E+07,4.53E+07,4.44E+07,4.07E+07,5.56E+07,3.11E+07,3.25E+07,3.07E+07,3.20E+07,3.24E+07,3.08E+07,3.32E+07,3.03E+07,3.57E+07,3.48E+07,3.39E+07,3.32E+07,3.46E+07,3.57E+07,3.66E+07,3.24E+07,3.99E+07,3.77E+07,3.14E+07,3.50E+07,3.29E+07,3.28E+07,3.29E+07,3.47E+07,7652173,3.42E+07,3.57E+07,3.55E+07,3.56E+07,3.70E+07,3.88E+07,3.54E+07,3.74E+07
#c32,73,3196,1,3.71E+07,4.29E+07,3.16E+07,201636,3.16E+07,202671,4.44E+07,3.81E+07,3.60E+07,3.28E+07,3.44E+07,3.74E+07,3.58E+07,3.30E+07,3.03E+07,4.33E+07,2.26E+07,2.34E+07,2.26E+07,2.25E+07,2.46E+07,2.30E+07,2.44E+07,2.09E+07,2.76E+07,2.55E+07,2.50E+07,2.49E+07,2.54E+07,2.61E+07,2.76E+07,2.42E+07,2.92E+07,2.80E+07,2.29E+07,2.59E+07,2.39E+07,2.40E+07,2.40E+07,2.60E+07,2.36E+07,2.54E+07,2.66E+07,2.65E+07,2.62E+07,2.73E+07,2.87E+07,2.66E+07,2.83E+07
#c36,73,3599.3,1,3.89E+07,6.28E+07,5.22E+07,294986,5.45E+07,326743,7.46E+07,7.17E+07,6.73E+07,6.18E+07,6.35E+07,6.88E+07,6.68E+07,5.84E+07,5.55E+07,7.24E+07,3.65E+07,3.65E+07,3.72E+07,3.79E+07,3.49E+07,3.77E+07,4.06E+07,3.80E+07,4.16E+07,3.71E+07,3.75E+07,4.05E+07,4.20E+07,3.88E+07,4.62E+07,3.96E+07,4.87E+07,4.74E+07,3.89E+07,4.33E+07,4.00E+07,4.00E+07,3.97E+07,4.22E+07,3.95E+07,4.23E+07,4.47E+07,4.31E+07,4.29E+07,4.55E+07,4.95E+07,4.57E+07,4.65E+07
"#Cinnamic acid, trans- (1TMS)",73,1552,0.5510204,,,,,,,,,,,,,,9040116,1.09E+07,,1.04E+08,8.99E+07,1.06E+08,,1.18E+08,1.14E+08,1.09E+08,,1.19E+08,1.09E+08,9.62E+07,73303,1.14E+08,1.14E+08,4.81E+07,,1.08E+08,8.29E+07,1.09E+08,,1.11E+08,8.03E+07,1.02E+08,,2.08E+07,8.11E+07,1.65E+07,,1.06E+08,1.07E+08,1.20E+08,,
