File;Type;oxygen;glucose
e10222ch_100_c5.cdf;sample;21;g5
e10222ch_101_c6.cdf;sample;21;g6
e10222ch_102_c7.cdf;sample;21;g7
e10222ch_22_c1.cdf;sample;21;g1
e10222ch_23_c2.cdf;sample;21;g2
e10222ch_24_c3.cdf;sample;21;g3
e10222ch_25_c4.cdf;sample;21;g4
e10222ch_26_c5.cdf;sample;21;g5
e10222ch_27_c6.cdf;sample;21;g6
e10222ch_28_c7.cdf;sample;21;g7
e10222ch_59_c1.cdf;sample;21;g1
e10222ch_60_c2.cdf;sample;21;g2
e10222ch_61_c3.cdf;sample;21;g3
e10222ch_62_c4.cdf;sample;21;g4
e10222ch_63_c5.cdf;sample;21;g5
e10222ch_64_c6.cdf;sample;21;g6
e10222ch_65_c7.cdf;sample;21;g7
e10222ch_96_c1.cdf;sample;21;g1
e10222ch_97_c2.cdf;sample;21;g2
e10222ch_98_c3.cdf;sample;21;g3
e10222ch_99_c4.cdf;sample;21;g4
e10223ch_15_c8.cdf;sample;9;g1
e10223ch_16_c9.cdf;sample;9;g2
e10223ch_17_c10.cdf;sample;9;g3
e10223ch_18_c11.cdf;sample;9;g4
e10223ch_19_c12.cdf;sample;9;g5
e10223ch_20_c13.cdf;sample;9;g6
e10223ch_21_c14.cdf;sample;9;g7
e10223ch_52_c8.cdf;sample;9;g1
e10223ch_53_c9.cdf;sample;9;g2
e10223ch_54_c10.cdf;sample;9;g3
e10223ch_55_c11.cdf;sample;9;g4
e10223ch_56_c12.cdf;sample;9;g5
e10223ch_57_c13.cdf;sample;9;g6
e10223ch_58_c14.cdf;sample;9;g7
e10223ch_89_c8.cdf;sample;9;g1
e10223ch_90_c9.cdf;sample;9;g2
e10223ch_91_c10.cdf;sample;9;g3
e10223ch_92_c11.cdf;sample;9;g4
e10223ch_93_c12.cdf;sample;9;g5
e10223ch_94_c13.cdf;sample;9;g6
e10223ch_95_c14.cdf;sample;9;g7
e10224ch_104_c15.cdf;sample;4;g1
e10224ch_105_c16.cdf;sample;4;g2
e10224ch_106_c17.cdf;sample;4;g3
e10224ch_107_c18.cdf;sample;4;g4
e10224ch_108_c19.cdf;sample;4;g5
e10224ch_109_c20.cdf;sample;4;g6
e10224ch_110_c21.cdf;sample;4;g7
e10224ch_14_c15.cdf;sample;4;g1
e10224ch_15_c16.cdf;sample;4;g2
e10224ch_16_c17.cdf;sample;4;g3
e10224ch_17_c18.cdf;sample;4;g4
e10224ch_18_c19.cdf;sample;4;g5
e10224ch_19_c20.cdf;sample;4;g6
e10224ch_20_c21.cdf;sample;4;g7
e10224ch_51_c15.cdf;sample;4;g1
e10224ch_52_c16.cdf;sample;4;g2
e10224ch_53_c17.cdf;sample;4;g3
e10224ch_54_c18.cdf;sample;4;g4
e10224ch_55_c19.cdf;sample;4;g5
e10224ch_56_c20.cdf;sample;4;g6
e10224ch_57_c21.cdf;sample;4;g7
e10224ch_88_c15.cdf;sample;4;g1
e10224ch_89_c16.cdf;sample;4;g2
e10224ch_90_c17.cdf;sample;4;g3
e10224ch_91_c18.cdf;sample;4;g4
e10224ch_92_c19.cdf;sample;4;g5
e10224ch_93_c20.cdf;sample;4;g6
e10224ch_94_c21.cdf;sample;4;g7
