"file","metabolite","quantMasses","intensity","rt","ri"
"e10222ch_100_c5.cdf","c10","71;85;99",19200729,393.831,1000
"e10222ch_100_c5.cdf","c12","71;85;99",14186295,688.031,1200
"e10222ch_100_c5.cdf","c15","71;85;99",16535090,1086.23,1500
"e10222ch_100_c5.cdf","c18","71;85;99",19062722,1386.43,1800
"e10222ch_100_c5.cdf","c19","71;85;99",29955809,1474.83,1900
"e10222ch_100_c5.cdf","c22","71;85;99",32573217,1715.03,2200
"e10222ch_100_c5.cdf","c28","71;85;99",27688100,2113.83,2800
"e10222ch_100_c5.cdf","c32","71;85;99",22152855,2336.63,3200
"e10222ch_100_c5.cdf","c36","71;85;99",15434145,2534.63,3600
"e10222ch_101_c6.cdf","c10","71;85;99",19392327,393.832,1000
"e10222ch_101_c6.cdf","c12","71;85;99",16647343,688.232,1200
"e10222ch_101_c6.cdf","c15","71;85;99",19922827,1086.43,1500
"e10222ch_101_c6.cdf","c18","71;85;99",21668682,1386.63,1800
"e10222ch_101_c6.cdf","c19","71;85;99",33328745,1475.23,1900
"e10222ch_101_c6.cdf","c22","71;85;99",34565860,1715.43,2200
"e10222ch_101_c6.cdf","c28","71;85;99",30139219,2114.23,2800
"e10222ch_101_c6.cdf","c32","71;85;99",24616276,2337.03,3200
"e10222ch_101_c6.cdf","c36","71;85;99",16821784,2535.03,3600
"e10222ch_102_c7.cdf","c10","71;85;99",19809338,393.831,1000
"e10222ch_102_c7.cdf","c12","71;85;99",18277432,688.231,1200
"e10222ch_102_c7.cdf","c15","71;85;99",23767474,1086.43,1500
"e10222ch_102_c7.cdf","c18","71;85;99",25476345,1386.63,1800
"e10222ch_102_c7.cdf","c19","71;85;99",36150003,1475.23,1900
"e10222ch_102_c7.cdf","c22","71;85;99",36576796,1715.23,2200
"e10222ch_102_c7.cdf","c28","71;85;99",30715199,2114.23,2800
"e10222ch_102_c7.cdf","c32","71;85;99",27003143,2336.83,3200
"e10222ch_102_c7.cdf","c36","71;85;99",20057696,2535.03,3600
"e10222ch_22_c1.cdf","c10","71;85;99",17588991,394.432,1000
"e10222ch_22_c1.cdf","c12","71;85;99",10642285,688.632,1200
"e10222ch_22_c1.cdf","c15","71;85;99",11804982,1086.63,1500
"e10222ch_22_c1.cdf","c18","71;85;99",14084414,1387.03,1800
"e10222ch_22_c1.cdf","c19","71;85;99",19931526,1475.23,1900
"e10222ch_22_c1.cdf","c22","71;85;99",23251042,1715.63,2200
"e10222ch_22_c1.cdf","c28","71;85;99",21746560,2114.83,2800
"e10222ch_22_c1.cdf","c32","71;85;99",17429312,2337.43,3200
"e10222ch_22_c1.cdf","c36","71;85;99",11938096,2535.63,3600
"e10222ch_23_c2.cdf","c10","71;85;99",18517909,394.616,1000
"e10222ch_23_c2.cdf","c12","71;85;99",11487557,688.816,1200
"e10222ch_23_c2.cdf","c15","71;85;99",12257010,1086.82,1500
"e10222ch_23_c2.cdf","c18","71;85;99",15561898,1387.02,1800
"e10222ch_23_c2.cdf","c19","71;85;99",24193379,1475.42,1900
"e10222ch_23_c2.cdf","c22","71;85;99",26306275,1715.62,2200
"e10222ch_23_c2.cdf","c28","71;85;99",23698011,2114.62,2800
"e10222ch_23_c2.cdf","c32","71;85;99",18740912,2337.42,3200
"e10222ch_23_c2.cdf","c36","71;85;99",13905654,2535.62,3600
"e10222ch_24_c3.cdf","c10","71;85;99",18379441,394.647,1000
"e10222ch_24_c3.cdf","c12","71;85;99",11777919,688.647,1200
"e10222ch_24_c3.cdf","c15","71;85;99",13383225,1086.65,1500
"e10222ch_24_c3.cdf","c18","71;85;99",16146082,1386.85,1800
"e10222ch_24_c3.cdf","c19","71;85;99",24660411,1475.45,1900
"e10222ch_24_c3.cdf","c22","71;85;99",26361074,1715.45,2200
"e10222ch_24_c3.cdf","c28","71;85;99",24467573,2114.65,2800
"e10222ch_24_c3.cdf","c32","71;85;99",21259468,2337.45,3200
"e10222ch_24_c3.cdf","c36","71;85;99",18977892,2535.45,3600
"e10222ch_25_c4.cdf","c10","71;85;99",18651630,394.432,1000
"e10222ch_25_c4.cdf","c12","71;85;99",12743923,688.832,1200
"e10222ch_25_c4.cdf","c15","71;85;99",14384980,1086.83,1500
"e10222ch_25_c4.cdf","c18","71;85;99",16944779,1387.03,1800
"e10222ch_25_c4.cdf","c19","71;85;99",26666485,1475.63,1900
"e10222ch_25_c4.cdf","c22","71;85;99",27332814,1715.63,2200
"e10222ch_25_c4.cdf","c28","71;85;99",24263116,2114.83,2800
"e10222ch_25_c4.cdf","c32","71;85;99",19641991,2337.43,3200
"e10222ch_25_c4.cdf","c36","71;85;99",13185638,2535.63,3600
"e10222ch_26_c5.cdf","c10","71;85;99",18260910,394.615,1000
"e10222ch_26_c5.cdf","c12","71;85;99",12462001,688.815,1200
"e10222ch_26_c5.cdf","c15","71;85;99",14258686,1086.82,1500
"e10222ch_26_c5.cdf","c18","71;85;99",16992969,1387.01,1800
"e10222ch_26_c5.cdf","c19","71;85;99",26696609,1475.42,1900
"e10222ch_26_c5.cdf","c22","71;85;99",26852218,1715.61,2200
"e10222ch_26_c5.cdf","c28","71;85;99",23975361,2114.82,2800
"e10222ch_26_c5.cdf","c32","71;85;99",19294486,2337.61,3200
"e10222ch_26_c5.cdf","c36","71;85;99",13187194,2535.61,3600
"e10222ch_27_c6.cdf","c10","71;85;99",18068095,394.016,1000
"e10222ch_27_c6.cdf","c12","71;85;99",13651561,688.416,1200
"e10222ch_27_c6.cdf","c15","71;85;99",16697483,1086.62,1500
"e10222ch_27_c6.cdf","c18","71;85;99",18194145,1386.82,1800
"e10222ch_27_c6.cdf","c19","71;85;99",29032613,1475.22,1900
"e10222ch_27_c6.cdf","c22","71;85;99",27770839,1715.42,2200
"e10222ch_27_c6.cdf","c28","71;85;99",24635244,2114.62,2800
"e10222ch_27_c6.cdf","c32","71;85;99",19931857,2337.22,3200
"e10222ch_27_c6.cdf","c36","71;85;99",13881308,2535.42,3600
"e10222ch_28_c7.cdf","c10","71;85;99",17963591,394.215,1000
"e10222ch_28_c7.cdf","c12","71;85;99",13455673,688.415,1200
"e10222ch_28_c7.cdf","c15","71;85;99",17147133,1086.62,1500
"e10222ch_28_c7.cdf","c18","71;85;99",18635384,1386.82,1800
"e10222ch_28_c7.cdf","c19","71;85;99",30289450,1475.42,1900
"e10222ch_28_c7.cdf","c22","71;85;99",27307468,1715.61,2200
"e10222ch_28_c7.cdf","c28","71;85;99",23623561,2114.61,2800
"e10222ch_28_c7.cdf","c32","71;85;99",19042291,2337.42,3200
"e10222ch_28_c7.cdf","c36","71;85;99",14395323,2535.42,3600
"e10222ch_59_c1.cdf","c10","71;85;99",17013692,394.432,1000
"e10222ch_59_c1.cdf","c12","71;85;99",10840290,688.432,1200
"e10222ch_59_c1.cdf","c15","71;85;99",12121816,1086.43,1500
"e10222ch_59_c1.cdf","c18","71;85;99",14668569,1386.83,1800
"e10222ch_59_c1.cdf","c19","71;85;99",20391703,1475.23,1900
"e10222ch_59_c1.cdf","c22","71;85;99",23635486,1715.43,2200
"e10222ch_59_c1.cdf","c28","71;85;99",21815818,2114.63,2800
"e10222ch_59_c1.cdf","c32","71;85;99",17834616,2337.23,3200
"e10222ch_59_c1.cdf","c36","71;85;99",13187355,2535.43,3600
"e10222ch_60_c2.cdf","c10","71;85;99",18404687,394.631,1000
"e10222ch_60_c2.cdf","c12","71;85;99",11501197,688.631,1200
"e10222ch_60_c2.cdf","c15","71;85;99",12531905,1086.63,1500
"e10222ch_60_c2.cdf","c18","71;85;99",16627900,1386.83,1800
"e10222ch_60_c2.cdf","c19","71;85;99",25668033,1475.43,1900
"e10222ch_60_c2.cdf","c22","71;85;99",28118825,1715.43,2200
"e10222ch_60_c2.cdf","c28","71;85;99",25047313,2114.63,2800
"e10222ch_60_c2.cdf","c32","71;85;99",20241976,2320.03,3200
"e10222ch_60_c2.cdf","c36","71;85;99",14357405,2518.03,3600
"e10222ch_61_c3.cdf","c10","71;85;99",18599132,394.215,1000
"e10222ch_61_c3.cdf","c12","71;85;99",11815038,688.415,1200
"e10222ch_61_c3.cdf","c15","71;85;99",13634418,1086.42,1500
"e10222ch_61_c3.cdf","c18","71;85;99",16925213,1386.61,1800
"e10222ch_61_c3.cdf","c19","71;85;99",25905417,1475.01,1900
"e10222ch_61_c3.cdf","c22","71;85;99",28348210,1715.22,2200
"e10222ch_61_c3.cdf","c28","71;85;99",25251582,2114.22,2800
"e10222ch_61_c3.cdf","c32","71;85;99",20719981,2337.22,3200
"e10222ch_61_c3.cdf","c36","71;85;99",15032257,2535.21,3600
"e10222ch_62_c4.cdf","c10","71;85;99",18059994,393.831,1000
"e10222ch_62_c4.cdf","c12","71;85;99",13276331,688.231,1200
"e10222ch_62_c4.cdf","c15","71;85;99",15460435,1086.23,1500
"e10222ch_62_c4.cdf","c18","71;85;99",17812088,1386.63,1800
"e10222ch_62_c4.cdf","c19","71;85;99",28510473,1475.03,1900
"e10222ch_62_c4.cdf","c22","71;85;99",29937742,1715.23,2200
"e10222ch_62_c4.cdf","c28","71;85;99",25564940,2114.23,2800
"e10222ch_62_c4.cdf","c32","71;85;99",20633145,2336.83,3200
"e10222ch_62_c4.cdf","c36","71;85;99",14178628,2535.03,3600
"e10222ch_63_c5.cdf","c10","71;85;99",18645333,394.416,1000
"e10222ch_63_c5.cdf","c12","71;85;99",13023069,688.416,1200
"e10222ch_63_c5.cdf","c15","71;85;99",14809219,1086.42,1500
