"file","metabolite","start","end","Area"
"e10222ch_100_c5.cdf","Unknown 1",353.631,358.431,584426
"e10222ch_100_c5.cdf","Unknown 2",353.631,365.231,67173
"e10222ch_100_c5.cdf","Unknown 3",356.031,364.231,191424
"e10222ch_100_c5.cdf","Unknown 4",356.031,364.631,611238
"e10222ch_100_c5.cdf","Unknown 5",358.631,365.431,177902
"e10222ch_100_c5.cdf","Unknown 6",365.031,369.631,38646
"e10222ch_100_c5.cdf","Unknown 7",365.231,389.231,320626
"e10222ch_100_c5.cdf","Unknown 8",374.431,382.231,26397
"e10222ch_100_c5.cdf","Unknown 9",379.831,383.031,9260.2
"e10222ch_100_c5.cdf","Unknown 10",381.431,388.831,119259
"e10222ch_100_c5.cdf","Unknown 11",380.431,389.031,50887
"e10222ch_100_c5.cdf","Unknown 12",387.231,400.231,11158563
"e10222ch_100_c5.cdf","Unknown 13",389.431,399.631,87522
"e10222ch_100_c5.cdf","Unknown 14",391.231,409.831,516660
"e10222ch_100_c5.cdf","Unknown 15",398.031,406.631,94953
"e10222ch_100_c5.cdf","Unknown 16",395.431,422.431,366928
"e10222ch_100_c5.cdf","Unknown 17",409.431,421.031,193815
"e10222ch_100_c5.cdf","Unknown 18",410.431,423.231,107509
"e10222ch_100_c5.cdf","Unknown 19",398.631,440.831,2682973
"e10222ch_100_c5.cdf","Unknown 20",409.031,428.431,496013
"e10222ch_100_c5.cdf","Unknown 21",415.431,424.231,140879
"e10222ch_100_c5.cdf","Unknown 22",423.831,431.831,127924
"e10222ch_100_c5.cdf","Unknown 23",431.831,441.231,26386
"e10222ch_100_c5.cdf","Unknown 24",434.031,444.831,192608
"e10222ch_100_c5.cdf","Unknown 25",434.231,445.431,227262
"e10222ch_100_c5.cdf","Unknown 26",450.231,459.631,84815
"e10222ch_100_c5.cdf","Unknown 27",449.831,462.031,441954
"e10222ch_100_c5.cdf","Unknown 28",451.631,482.431,374722
"e10222ch_100_c5.cdf","Unknown 29",464.831,468.031,49958
"e10222ch_100_c5.cdf","Unknown 30",462.031,483.031,79748354
"e10222ch_100_c5.cdf","Unknown 31",468.231,472.031,145336
"e10222ch_100_c5.cdf","Unknown 32",472.231,479.031,23679
"e10222ch_100_c5.cdf","Unknown 33",472.431,482.631,70668
"e10222ch_100_c5.cdf","Unknown 34",477.831,496.031,127078
"e10222ch_100_c5.cdf","Unknown 35",485.031,495.831,21693
"e10222ch_100_c5.cdf","Unknown 36",497.431,507.031,46147
"e10222ch_100_c5.cdf","Unknown 37",505.831,524.831,196907
