"Metabolite","QuantMasses","e10222ch_100_c5.cdf","e10222ch_101_c6.cdf","e10222ch_102_c7.cdf","e10222ch_22_c1.cdf","e10222ch_23_c2.cdf","e10222ch_24_c3.cdf","e10222ch_25_c4.cdf","e10222ch_26_c5.cdf","e10222ch_27_c6.cdf","e10222ch_28_c7.cdf","e10222ch_59_c1.cdf","e10222ch_60_c2.cdf","e10222ch_61_c3.cdf","e10222ch_62_c4.cdf","e10222ch_63_c5.cdf","e10222ch_64_c6.cdf","e10222ch_65_c7.cdf","e10222ch_96_c1.cdf","e10222ch_97_c2.cdf","e10222ch_98_c3.cdf","e10222ch_99_c4.cdf","e10223ch_15_c8.cdf","e10223ch_16_c9.cdf","e10223ch_17_c10.cdf","e10223ch_18_c11.cdf","e10223ch_19_c12.cdf","e10223ch_20_c13.cdf","e10223ch_21_c14.cdf","e10223ch_52_c8.cdf","e10223ch_53_c9.cdf","e10223ch_54_c10.cdf","e10223ch_55_c11.cdf","e10223ch_56_c12.cdf","e10223ch_57_c13.cdf","e10223ch_58_c14.cdf","e10223ch_89_c8.cdf","e10223ch_90_c9.cdf","e10223ch_91_c10.cdf","e10223ch_92_c11.cdf","e10223ch_93_c12.cdf","e10223ch_94_c13.cdf","e10223ch_95_c14.cdf","e10224ch_104_c15.cdf","e10224ch_105_c16.cdf","e10224ch_106_c17.cdf","e10224ch_107_c18.cdf","e10224ch_108_c19.cdf","e10224ch_109_c20.cdf","e10224ch_110_c21.cdf","e10224ch_14_c15.cdf","e10224ch_15_c16.cdf","e10224ch_16_c17.cdf","e10224ch_17_c18.cdf","e10224ch_18_c19.cdf","e10224ch_19_c20.cdf","e10224ch_20_c21.cdf","e10224ch_51_c15.cdf","e10224ch_52_c16.cdf","e10224ch_53_c17.cdf","e10224ch_54_c18.cdf","e10224ch_55_c19.cdf","e10224ch_56_c20.cdf","e10224ch_57_c21.cdf","e10224ch_88_c15.cdf","e10224ch_89_c16.cdf","e10224ch_90_c17.cdf","e10224ch_91_c18.cdf","e10224ch_92_c19.cdf","e10224ch_93_c20.cdf","e10224ch_94_c21.cdf"
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D","188.0 189.0 190.0 191.0 ",0.442494447589601,0.38583521724064,0.356476728268309,0.286584515229017,0.447714464621165,0.493662363513949,0.451456672379107,0.383664597899809,0.366893386533253,0.354124560221573,0.551335369419715,0.458097061639296,0.449724161053369,0.412434224251837,0.414681457234649,0.36227978851532,0.35455364903583,0.295484004770052,0.413732501060542,0.511229276095368,0.425909343917137,0.553235510951509,0.527647476901208,0.495379961198251,0.44992348771119,0.444151969816618,0.400515021459227,0.39032890892395,0.510038197097021,0.494998213647731,0.459056660138746,0.501092051338683,0.472365869424693,0.413577126782849,0.371874173061657,0.54117977002898,0.502513210465266,0.523256490860403,0.441823323035032,0.414857825048839,0.42180339985218,0.335771001534663,0.574165538118378,0.486615892232504,NA,0.485102952537704,0.484784381690284,0.435680794763474,0.413824163841942,0.570028604725077,0.606430300255119,0.51700140944327,0.489439754959575,0.518097925906016,0.418956993248631,0.420565984869711,0.679060589646367,0.455418863503222,0.415661035130062,0.503246753246753,0.437555481580115,0.376465272055501,0.417740098696697,0.614799820062978,0.461958972046889,0.536272832185921,0.433197118714503,0.439829605963791,0.419198493366937,0.376609218064995
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C","188.0 189.0 190.0 191.0 ",0.097588824297423,0.084253572525976,0.0876101556301993,0.106547010931938,0.0964232805638781,0.102143630756823,0.101470540776041,0.103561080474811,0.0927104813298234,0.10923692726963,0.0977424334156944,0.100524734246685,0.101411887633084,0.0886835140992241,0.0916147767570435,0.0863517649581986,0.0994083353408817,0.116587952834883,0.105335786568537,0.0953380712549289,0.0888419491496794,NA,0.162489914792294,0.145508598746818,0.131899275309792,0.131965019592851,0.147554175801773,0.14051155832689,0.149229855508495,0.143808850398206,0.138456040108926,0.124752554048631,0.125929719422501,0.142927793718367,0.134874325740842,0.137516644671042,0.138550288167372,0.14050203835785,0.124730740705251,0.123465686433267,0.140604173553278,0.133133970126466,0.159155162982871,0.134632845533651,NA,0.119721788393569,0.128794534811799,0.139967117854052,0.142217995601156,0.17258131603028,0.146661407198518,0.153507597264628,0.13823522630329,0.14153817160617,0.138263622131617,0.133174817998262,0.160464443535596,0.140442598971358,0.143271916592772,0.125353696885244,0.133963068424014,0.138805766720653,0.15043281657544,0.163197498021282,0.133652808306349,0.144243078776299,0.122616251656594,0.130627874415916,0.13913763974096,0.141585222307432
"Citric acid 275_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.230757225731311,0.201024805495751,0.176118518533551,0.232083215769132,0.244496648972068,0.248922571902862,0.251302733173067,0.233915109536537,0.196788903803992,0.174398375750584,0.233269461273147,0.251851146786107,0.247068243277056,0.253595472300218,0.230253858706953,0.197642771304553,0.175823296183975,0.23633907530856,0.249147836982945,0.24868380854642,0.251636693916245,0.227263124177929,0.25599410266019,0.250715226461378,0.265190914588796,0.258441871392942,0.256289291944958,0.224379204033502,0.2284318035527,0.251680093387538,0.255584643871436,0.263575911154952,0.257335459491559,0.258900050614198,0.225045731176014,0.228793648952554,0.2503824897368,0.251666861261837,0.263799580585953,0.259040044827484,0.258514947359168,0.223563864935358,0.184541261594911,0.253472876671333,NA,0.253756759380006,0.241700018191741,0.234623603011755,0.217271366450752,0.196302631803277,0.252632073790127,0.237588294134619,0.251605464452057,0.239994650601284,0.23427221062927,0.217258347578805,0.202418869660615,0.252456837992483,0.234275932416874,0.254249238967572,0.246217888987371,0.236308162848504,0.219981734706085,0.194834626378114,0.255198775376141,0.233096805070902,0.255155203124859,0.242299108712674,0.23589591480065,0.21565420791103
"Citric acid 276_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.0554755217477316,0.0473557359839836,0.0385528408641818,0.0598376426451154,0.0691498432823094,0.0618317003358231,0.0620452472271558,0.0542680042990351,0.0488746862122189,0.0402916640845022,0.0606337897317352,0.0637194912959098,0.0590878290661077,0.0697685866981726,0.0530185093554476,0.0443074653871166,0.0392415638984542,0.0604321953180297,0.0613006932118817,0.0611852487682228,0.0651335717114695,0.0609658130983536,0.0666967828746886,0.0645145170156414,0.0659903626680193,0.0648638218315054,0.0688844623444853,0.0562968150930959,0.0623625642278617,0.0664429155158779,0.0627978566625878,0.0672631388644205,0.0612095834011205,0.063277230377125,0.0587605266835297,0.0580879945601531,0.0622784437853974,0.0624034383228595,0.065459194462138,0.0685981052356806,0.0663969594355929,0.0535938891455896,0.0434144232026308,0.0730156915221473,NA,0.0638335834885501,0.0609012092941755,0.0578878934150295,0.0533251125577127,0.0565266121392451,0.0615547701442025,0.0721345194448257,0.0597065945451041,0.0605953482258352,0.0600790873413276,0.0556346345553866,0.0714521146200276,0.0694660179194141,0.0604525437685726,0.0653488061567594,0.0626741264143049,0.0606848179510603,0.0554336433386848,0.072284508513331,0.0698441072150982,0.0605154756940287,0.0662135523939827,0.0633469148825186,0.0579657318102242,0.0518479563614586
"Citric acid 277_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.0242511293041206,0.0214986001247335,0.0158005089157222,0.0241603798953954,0.0412935829602496,0.0286647635577904,0.0296613167698806,0.0241145966226196,0.0179974774994833,0.0159355517428848,0.0289838909541512,0.0341637299452842,0.026409768739444,0.0321641223631797,0.0270325338147258,0.0182844336551166,0.0165647106616333,0.0323179852152642,0.0298505023313945,0.0287682231337464,0.0342540863396827,0.0313212818125123,0.0335274155742252,0.0326163454534717,0.0298286873905962,0.037094894279434,0.0349489642146718,0.0265091871882975,0.0289390099742806,0.0333487340035401,0.0311336001074695,0.0298082878419059,0.0263048449365449,0.0327525572174319,0.0262519077463094,0.0334975910483583,0.0298979754194107,0.0322680619914105,0.032003515186452,0.0338076898115927,0.0315135377766107,0.0238464893556001,0.0224701203407771,0.0358252499349612,NA,0.0332993895091175,0.0291694195794978,0.025041903423055,0.022268692732414,0.0350178091351993,0.034951716602508,0.0303371226020597,0.0301041631070615,0.0310974808144216,0.0288819789641071,0.0273434282333814,0.0325230736209487,0.0366920893065178,0.0337189321877877,0.0347609269580522,0.0308616222744568,0.0270684650541763,0.0278625789384062,0.0471666658613075,0.0294957220994106,0.0313722095775415,0.0328109828618795,0.0321380446174577,0.0271933985211131,0.0246840079197239
"Citric acid 278_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.00646908252140923,0.00630840668387442,0.00337881274822889,0.00654911090407866,0.0195103157279235,0.00754885897518751,0.00830129593282875,0.00634278249605726,0.00484123763360114,0.00440512703748845,0.0114442264792025,0.0119712973471036,0.00439574062114964,0.0127710800819421,0.00454469218928137,0.0036086682896495,0.00307101868594554,0.00960697081065149,0.00664172206357035,0.00630176279888652,0.0120540024971026,0.012252409212174,0.0148652145827857,0.00731404301308776,0.00731672632264793,0.00779607052896725,0.0150799238527501,0.00974632324332737,0.0115977573312472,0.00982357262295406,0.00534618004622142,0.00508601002595523,0.00391646778726733,0.0105044689963379,0.00765623807761911,0.00889559476764793,0.00911136990829965,0.00606426103437956,0.00600562686878136,0.00865925860443864,0.00667765725159378,0.00399115276794163,0.0045991806237933,0.0162018778630586,NA,0.00729437121522997,0.00745174102698931,0.00765148980478851,0.00562723139264267,0.0203858275897898,0.0105183175878407,0.00703266268397079,0.00567214613180972,0.00970171580334133,0.0087526285409612,0.00186648246607929,0.018903756264522,0.0111261480877411,0.0105212553867037,0.00686955456239802,0.00385184616642445,0.00457350031846989,0.00878742944013159,0.029577353884919,0.0103442200894484,0.00889434803819081,0.00969885231850415,0.00944376340790683,0.00761457059714982,0.00632713760450901
"Citric acid 377_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.265961576799186,0.243192592892743,0.221673069967722,0.292471440029481,0.294953217856988,0.292976329064804,0.288974666918377,0.266953761730039,0.241442485776339,0.232420409475828,0.267087627202513,0.285649811661372,0.282160625444208,0.290277439545222,0.275768647627569,0.246638320172461,0.219168299807721,0.283875414477851,0.290046975478496,0.291840608720914,0.289732194725224,0.289210745431439,0.316019405398681,0.280000256769075,0.282301923177399,0.310866234719607,0.296606016050971,0.260030305409894,0.286557652159147,0.299980396715766,0.292607851000776,0.296537393185047,0.279659538454115,0.28504303365286,0.26693903093607,0.298178795923472,0.307117116059585,0.301470691585808,0.30003783962755,0.30121024106382,0.293733307897749,0.25809784541443,0.232609417947866,0.324351971941618,NA,0.292921111249012,0.28471284572729,0.273622966832293,0.254817285641957,0.263935620382254,0.300765945909307,0.253490705786783,0.288077615695465,0.273101079149172,0.274080935611424,0.251334538569944,0.302566693127421,0.296450425658064,0.278889345818044,0.310844146854115,0.286819813001977,0.268553813633962,0.262335241165954,0.286531970060173,0.304428097783535,0.288173047688965,0.300725840025582,0.278849806721471,0.261651584457073,0.256934331361901
"Citric acid 378_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.0909492541450822,0.0892167589626681,0.075517234391781,0.128127045184384,0.110726319730438,0.126829326735876,0.114922126946826,0.0967943588717744,0.0918364905284147,0.072717212801149,0.129957859788022,0.122225382154284,0.0991789144806188,0.122702418554079,0.0910723516514857,0.0849803443624304,0.0781324180231702,0.128948203199347,0.112610843678743,0.114748797341465,0.130330253433768,0.0939528979278791,0.0807345258825392,0.0686548153506255,0.0627940165970717,0.0579036522888779,0.0661400256352424,0.0463108877436575,0.0650726954969695,0.079732145390574,0.0627229838340804,0.0610273781703578,0.0380967131787312,0.0473121004313098,0.0546932512478995,0.0543567781255147,0.0594752538485911,0.0647493124728998,0.0853600421365928,0.0867762986165492,0.0572567552362122,0.0410547895108245,0.0940341618229148,0.144372346947037,NA,0.113732939240361,0.0986216933481723,0.098617642289606,0.0885403385702614,0.16738601585184,0.121685823754789,0.073756106815918,0.109183629463516,0.117653665796198,0.110610598099162,0.122455449509444,0.213103186234598,0.135718997361478,0.12631387315914,0.121219416291517,0.124787169769869,0.0987850455119607,0.082074874340885,0.166461863801332,0.139205225130389,0.113613488831639,0.126222302641003,0.116733104040448,0.105597287907923,0.0928194149997667
"Citric acid 379_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.0618132727776635,0.0469844246297501,0.0352816292352228,0.0432093336851054,0.125768705813793,0.0634433128794937,0.069715745163884,0.0543940940862326,0.0388798615654082,0.0382737001471244,0.0605454746015112,0.0812005566677334,0.0466896244007917,0.0909378709932726,0.0463036129255486,0.0344672309441854,0.0363228239106005,0.0843743673411059,0.060645273758599,0.0592477069070339,0.0839848212981311,0.06287984055469,0.0597766848331783,0.0392768858148768,0.0280213770040941,0.082604791346263,0.0440247574246268,0.0428644538675245,0.0394913947440639,0.0525296494825581,0.0319287455673759,0.0389573833248888,0.0317421068962842,0.0178227333404081,0.0248395328037039,0.0285860021922447,0.0284169670085944,0.0345632558549262,0.0431502607415652,0.0551351031750724,0.0313392486377003,0.016336910138861,0.0213782211779207,0.0683132029370647,NA,0.0595640426400702,0.05645667174478,0.0534341396132921,0.0516290075426542,0.0633414257338336,0.0447802655703095,0.155618973494184,0.0609721448784535,0.0411924450004577,0.070092993837002,0.0594168599140372,0.155801426699665,0.0878343099147183,0.0693325984669872,0.0670063129914719,0.0822678771505461,0.0385600303775428,0.0534760903228789,0.0269224353628023,0.0880530244465003,0.0638482543397698,0.0720365106689619,0.0675063176392539,0.0572733631667214,0.0421416726412977
"Citric acid 380_(4TMS)_MP_RI:1814_IDENT:B+D","273.0 274.0 275.0 276.0 277.0 278.0 279.0 ",0.00655577855195395,0.0156979769833271,0.0112565558493347,0.0662289547840764,0.10002052350731,0.0435878087989239,0.0349713251488257,0.0182161145478859,0.0136566223573591,0.0133309116189057,0.0155753337571519,0.059624642008409,0.0203165048087098,0.0427298888611083,0.0166045522701084,0.0101212040594362,0.0158398653116271,0.0489931723728478,0.0239175114083673,0.0221077968039039,0.0185860774988461,0.0532284193473733,0.0432938060056704,0.0182621067791023,0.000413084957806322,0.0202893010338605,0.0424421350968351,0.0301102164655918,0.0376098512167107,0.0192642487702661,0.0166347319999713,0.0134578315383663,0.00532425635684711,0.0356655404649498,0.0146113799975597,0.0599886450064809,0.0294866989347197,0.0268801552644347,0.00931328173506676,0.0423055028100512,0.0102983064320254,0.00569959049043313,0.0232209449848141,0.0553207248394141,NA,0.0110907081060834,0.0329219288174512,0.0253701641959832,0.021945621764696,0.0983641385171022,0.0207506692233212,0.00618336344436245,0.0464396999422966,0.00461687098102569,0.03500968272136,0.00662960467912839,0.162652342170623,0.0947404784523707,0.0604140261934939,0.0348389371171727,0.0417236138597623,0.0140468513303669,0.0368926673251493,0.136351523406271,0.0375952922295038,0.0360600096401028,0.0389246384503118,0.0192857713509627,0.0334557394046745,0.0192708566817591
