"File","Metabolite","Mass.m.z.","SamplePeakArea","SampleMID","ReferencePeakArea","ReferenceMID","BackupPeakArea","BackupMID","UsedMID"
"e10222ch_32_Quant1_50.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,864,0.964285714285714,252,0.863013698630137,294838,0.8339,"ident"
"e10222ch_32_Quant1_50.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,32,0.0357142857142857,30,0.102739726027397,45490,0.1287,"ident"
"e10222ch_32_Quant1_50.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,0,0,10,0.0342465753424658,12524,0.0354,"ident"
"e10222ch_32_Quant1_50.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,0,0,0,0,696,0.002,"ident"
"e10222ch_32_Quant1_50.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,0,0,0,0,0,0,"ident"
"e10222ch_33_Quant1_20.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,1559,0.861802100608071,252,0.863013698630137,294838,0.8339,"ident"
"e10222ch_33_Quant1_20.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,184,0.10171365395246,30,0.102739726027397,45490,0.1287,"ident"
"e10222ch_33_Quant1_20.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,1,0.000552791597567717,10,0.0342465753424658,12524,0.0354,"ident"
"e10222ch_33_Quant1_20.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,64,0.0353786622443339,0,0,696,0.002,"ident"
"e10222ch_33_Quant1_20.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,1,0.000552791597567717,0,0,0,0,"ident"
"e10222ch_34_Quant1_10.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,5128,0.884290394895672,252,0.863013698630137,294838,0.8339,"ident"
"e10222ch_34_Quant1_10.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,526,0.0907052940162097,30,0.102739726027397,45490,0.1287,"ident"
"e10222ch_34_Quant1_10.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,145,0.0250043110881186,10,0.0342465753424658,12524,0.0354,"ident"
"e10222ch_34_Quant1_10.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,0,0,0,0,696,0.002,"ident"
"e10222ch_34_Quant1_10.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,0,0,0,0,0,0,"ident"
"e10222ch_35_Quant1_5.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,6469,0.883743169398907,252,0.863013698630137,294838,0.8339,"ident"
"e10222ch_35_Quant1_5.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,675,0.0922131147540984,30,0.102739726027397,45490,0.1287,"ident"
"e10222ch_35_Quant1_5.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,176,0.0240437158469945,10,0.0342465753424658,12524,0.0354,"ident"
"e10222ch_35_Quant1_5.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,0,0,0,0,696,0.002,"ident"
"e10222ch_35_Quant1_5.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,0,0,0,0,0,0,"ident"
"e10222ch_36_Quant1_2.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,30566,0.861863809389539,93645,0.754483636539422,294838,0.8339,"quant"
"e10222ch_36_Quant1_2.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,3521,0.0992809812491189,13805,0.111224802204354,45490,0.1287,"quant"
"e10222ch_36_Quant1_2.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,1272,0.0358663471027774,6870,0.0553505535055351,12524,0.0354,"quant"
"e10222ch_36_Quant1_2.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,93,0.0026223036796842,6728,0.0542064809294381,696,0.002,"quant"
"e10222ch_36_Quant1_2.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,13,0.000366558578880586,3070,0.0247345268212507,0,0,"quant"
"e10222ch_37_Quant1_1.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,52847,0.861387752440873,423294,0.848663831732417,294838,0.8339,"quant"
"e10222ch_37_Quant1_1.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,6125,0.0998353735065443,51239,0.102729275808628,45490,0.1287,"quant"
"e10222ch_37_Quant1_1.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,2220,0.0361852292546169,18596,0.0372831946942221,12524,0.0354,"quant"
"e10222ch_37_Quant1_1.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,159,0.0025916447979658,4051,0.00812186608444255,696,0.002,"quant"
"e10222ch_37_Quant1_1.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,0,0,1597,0.00320183168028999,0,0,"quant"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",219,986,0.758461538461538,14,0.823529411764706,136224,0.7738,"ident"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",220,193,0.148461538461538,2,0.117647058823529,26389,0.1499,"ident"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",221,111,0.0853846153846154,1,0.0588235294117647,11886,0.0675,"ident"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",222,10,0.00769230769230769,0,0,1420,0.0081,"ident"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",223,0,0,0,0,121,7e-04,"ident"
"e10222ch_30_Quant1_200.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",224,0,0,0,0,0,0,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",219,1234,0.845784784098698,14,0.823529411764706,136224,0.7738,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",220,225,0.154215215901302,2,0.117647058823529,26389,0.1499,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",221,0,0,1,0.0588235294117647,11886,0.0675,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",222,0,0,0,0,1420,0.0081,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",223,0,0,0,0,121,7e-04,"ident"
"e10222ch_31_Quant1_100.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",224,0,0,0,0,0,0,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",219,1542,0.731499051233397,14,0.823529411764706,136224,0.7738,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",220,300,0.142314990512334,2,0.117647058823529,26389,0.1499,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",221,198,0.0939278937381404,1,0.0588235294117647,11886,0.0675,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",222,0,0,0,0,1420,0.0081,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",223,68,0.032258064516129,0,0,121,7e-04,"ident"
"e10222ch_32_Quant1_50.cdf","Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",224,0,0,0,0,0,0,"ident"
