Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.01	-99.0	-99.0	-99.0
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.02	5816.066884	53524.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.05	14540.16721	74009.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.1	29080.33442	212654.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.2	58160.66884	260768.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.5	145401.6721	1054073.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	1	290803.3442	1796288.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.005	2230.9477065	555718.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.01	4461.895413	788329.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.02	8923.790826	841087.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.05	22309.477065	814113.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.1	44618.95413	969357.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.2	89237.90826	889332.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.5	223094.77065	2307324.0	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	1	446189.5413	3115146.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.005	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.01	-99.0	-99.0	-99.0
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.02	853.6064874000001	25669.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.05	2134.0162185000004	5266.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.1	4268.032437000001	36494.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.2	8536.064874000002	49008.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.5	21340.162185	75173.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	1	42680.32437	133327.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.02	224.4920866	190029.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.05	561.2302165	209737.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.1	1122.460433	302085.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.2	2244.920866	404314.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.5	5612.302165	1335595.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	1	11224.60433	2396247.0	NaN
