"Metabolite","QuantMasses","e10222ch_100_c5.cdf","e10222ch_101_c6.cdf","e10222ch_102_c7.cdf","e10222ch_22_c1.cdf","e10222ch_23_c2.cdf","e10222ch_24_c3.cdf","e10222ch_25_c4.cdf","e10222ch_26_c5.cdf","e10222ch_27_c6.cdf","e10222ch_28_c7.cdf","e10222ch_59_c1.cdf","e10222ch_60_c2.cdf","e10222ch_61_c3.cdf","e10222ch_62_c4.cdf","e10222ch_63_c5.cdf","e10222ch_64_c6.cdf","e10222ch_65_c7.cdf","e10222ch_96_c1.cdf","e10222ch_97_c2.cdf","e10222ch_98_c3.cdf","e10222ch_99_c4.cdf","e10223ch_15_c8.cdf","e10223ch_16_c9.cdf","e10223ch_17_c10.cdf","e10223ch_18_c11.cdf","e10223ch_19_c12.cdf","e10223ch_20_c13.cdf","e10223ch_21_c14.cdf","e10223ch_52_c8.cdf","e10223ch_53_c9.cdf","e10223ch_54_c10.cdf","e10223ch_55_c11.cdf","e10223ch_56_c12.cdf","e10223ch_57_c13.cdf","e10223ch_58_c14.cdf","e10223ch_89_c8.cdf","e10223ch_90_c9.cdf","e10223ch_91_c10.cdf","e10223ch_92_c11.cdf","e10223ch_93_c12.cdf","e10223ch_94_c13.cdf","e10223ch_95_c14.cdf","e10224ch_104_c15.cdf","e10224ch_105_c16.cdf","e10224ch_106_c17.cdf","e10224ch_107_c18.cdf","e10224ch_108_c19.cdf","e10224ch_109_c20.cdf","e10224ch_110_c21.cdf","e10224ch_14_c15.cdf","e10224ch_15_c16.cdf","e10224ch_16_c17.cdf","e10224ch_17_c18.cdf","e10224ch_18_c19.cdf","e10224ch_19_c20.cdf","e10224ch_20_c21.cdf","e10224ch_51_c15.cdf","e10224ch_52_c16.cdf","e10224ch_53_c17.cdf","e10224ch_54_c18.cdf","e10224ch_55_c19.cdf","e10224ch_56_c20.cdf","e10224ch_57_c21.cdf","e10224ch_88_c15.cdf","e10224ch_89_c16.cdf","e10224ch_90_c17.cdf","e10224ch_91_c18.cdf","e10224ch_92_c19.cdf","e10224ch_93_c20.cdf","e10224ch_94_c21.cdf"
"Acetoacetic acid_(1MEOX)(1TMS)_MP_RI:1132_BMD","188.0 114.0 116.0 89.0 117.0 ",189221,290467,402109,36102,79082,117119,136942,173568,237920,334309,51218,75542,120390,143297,154206,263991,338775,51399,92177,174055,167617,73554,215536,200566,247988,240641,287589,394109,86935,205704,242125,248366,282374,315719,413574,88513,256510,252125,291718,303524,327173,444385,93969,306390,NA,300734,395111,418068,518668,45587,258046,260034,285555,396733,427874,489885,98469,299593,291472,332726,427545,455035,514891,98007,295088,280419,348547,413128,419948,483467
"Adenosine_(4TMS)_MP_RI:2644_IDENT:A+B","236.0 103.0 192.0 245.0 230.0 ",96905,166039,291733,NA,NA,98696,108469,NA,NA,NA,77631,81358,91552,174320,104301,72607,171411,134558,145233,253763,121044,60607,132700,161610,221985,NA,175939,181896,198338,222863,144163,150234,161262,157664,301755,467292,188791,154715,220873,213522,383038,1461091,99927,178064,NA,NA,NA,296035,NA,43758,141468,132919,133694,198303,NA,NA,NA,81295,NA,NA,280881,279596,NA,184033,168198,148115,138928,368883,275050,NA
"Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D","86.0 102.0 176.0 117.0 99.0 ",101893,154160,202419,36006,87038,123122,121409,108510,149528,176936,73041,39043,59437,131098,69316,120247,166229,80158,63650,233811,114539,65294,113858,95417,93701,124625,138931,185871,NA,96060,76379,72656,102322,143762,149279,NA,108374,111514,125241,160100,140811,194591,NA,NA,NA,130457,161598,145387,240435,NA,NA,111044,NA,196566,252648,139990,NA,NA,NA,114934,NA,147461,208463,NA,NA,NA,NA,NA,203785,172651
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D","86.0 248.0 174.0 133.0 100.0 ",3308726,4749313,6152314,1342090,1801227,2637132,3124792,2961768,4263957,4945022,1486885,1961392,2669445,3370376,2989780,4553872,5495245,1569449,2201874,3558955,3584723,1486661,2234129,1883963,2444073,2604480,3320211,4199731,1498172,2341194,2118941,2683022,3012297,3628409,4739223,1666049,2600267,2388638,3191584,3419554,4173176,5224525,1099205,2062180,NA,2061767,2677137,3589394,3606838,663080,1891713,1880031,1998823,2538972,3359201,3476311,1118385,1870565,2018969,2230945,2795971,3719484,3437657,970336,2098763,2008327,2224681,2758394,3559908,3438426
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C","86.0 117.0 116.0 100.0 103.0 118.0 ",77581960,83223988,85095290,32108293,62606990,87949428,94542002,73258415,79516597,74253851,30801644,61290709,91368059,98033386,73757276,77968802,75968305,32116791,68507641,104622019,105290558,39828936,105726586,95042286,126240234,129195480,109988133,97488893,41069056,106699133,109718598,129596567,139629783,113889343,99656610,43594948,116342208,106251672,143018560,146358593,115582684,103453386,18870265,44912911,50468,48537947,68025615,69091545,37108585,14856459,40404145,49921835,51586984,72114875,71341872,41678719,19500187,48717844,58388888,63483972,82593433,80511227,40855632,17930085,45691261,52520138,54894975,71364398,68697480,34828618
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C","110.0 133.0 114.0 100.0 188.0 190.0 ",3130189,4502020,6916284,902781,1243115,1518316,1722900,1644433,1989192,2099055,1304070,1479426,2106834,2411842,2219733,2962294,3281841,1615773,1850853,3196920,3508116,NA,559439,1523154,2091745,2192800,2247817,2570485,1522205,2542284,2764073,3556230,4142755,3012315,3736051,2453253,3859699,4239205,6525588,6469857,4650186,5243783,2413327,4319609,NA,3686589,5793987,5751789,6980466,317948,1760658,1670296,1542843,2225217,2766340,3497643,1606052,2988033,3035365,3326058,4463733,4990608,5315516,2237047,4341462,3816670,3947301,5606831,5805580,6358130
"Asparagine_(2TMS)_BP_RI:1599_IDENT:B+D","159.0 116.0 131.0 130.0 100.0 ",9290721,9250800,10824696,7455541,8999590,9820623,10020983,8639098,6878213,7744175,7540779,10521848,13304356,9551653,9358057,8765456,9664778,8225151,11039668,13314338,11911727,8183725,10836870,8823999,9744700,10019604,8047219,9176460,9289106,15852678,10570922,11241100,13231707,9825255,10429058,8657909,16131516,11373323,12030754,13668126,9886903,11319464,3550411,7043135,NA,6614881,8092743,7330062,4722596,3440430,6346852,6205650,6497142,7829287,7146742,5849093,3187587,6668755,7873563,6995771,8677999,8742027,4289381,3297102,6700008,7751154,7149883,8696243,7603021,4510076
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D","141.0 132.0 100.0 116.0 231.0 ",997137,876265,1199351,662846,1036019,1452454,1126112,893850,629122,668705,620172,1257726,2588168,1169028,1044297,757606,774557,718815,1914430,1610482,2033651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518731,31901,480883,572745,498816,NA,152962,547434,805105,523404,599017,524779,317843,141090,532830,625770,606538,653934,558914,NA,125080,430022,594935,516096,591893,463804,NA
"Butanoic acid_ 2-amino-_(2TMS)_MP_RI:1168_IDENT:C+D","86.0 132.0 100.0 130.0 131.0 ",173108,235814,283884,123962,198800,259464,246698,178981,219037,239331,163959,163159,223293,240730,164683,209407,229583,189484,198774,347960,244672,152778,235631,214663,219711,230384,241409,265077,170096,308826,232602,259886,230268,283062,262929,262115,351989,282135,310275,304744,289977,287926,101279,249467,NA,206140,281885,253138,172349,79385,173950,204839,240205,263708,313127,217924,114269,215943,177462,286678,272050,273176,239420,112794,256861,260414,240013,300711,303182,213641
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B","191.0 88.0 117.0 149.0 133.0 ",111697,154395,260358,112968,64347,115670,148059,141815,166598,208974,149795,121532,136794,121273,164240,198316,198444,NA,122619,164065,158528,127690,NA,137907,NA,128998,131132,182222,172397,71947,189991,58679,163394,75019,192066,171844,NA,NA,NA,NA,NA,157343,112086,NA,NA,NA,NA,178619,208757,51929,NA,NA,71568,NA,195440,193784,40550,71477,66715,79491,NA,220599,NA,39559,63273,194981,NA,NA,191184,225540
