File;Type;oxygen;glucose
e10222ch__100.txt;sample;21;g5
e10222ch__101.txt;sample;21;g6
e10222ch__102.txt;sample;21;g7
e10222ch__22.txt;sample;21;g1
e10222ch__23.txt;sample;21;g2
e10222ch__24.txt;sample;21;g3
e10222ch__25.txt;sample;21;g4
e10222ch__26.txt;sample;21;g5
e10222ch__27.txt;sample;21;g6
e10222ch__28.txt;sample;21;g7
e10222ch__30.txt;Q1_200;;
e10222ch__31.txt;Q1_100;;
e10222ch__32.txt;Q1_50;;
e10222ch__33.txt;Q1_20;;
e10222ch__34.txt;Q1_10;;
e10222ch__35.txt;Q1_5;;
e10222ch__36.txt;Q1_2;;
e10222ch__37.txt;Q1_1;;
e10222ch__59.txt;sample;21;g1
e10222ch__60.txt;sample;21;g2
e10222ch__61.txt;sample;21;g3
e10222ch__62.txt;sample;21;g4
e10222ch__63.txt;sample;21;g5
e10222ch__64.txt;sample;21;g6
e10222ch__65.txt;sample;21;g7
e10222ch__96.txt;sample;21;g1
e10222ch__97.txt;sample;21;g2
e10222ch__98.txt;sample;21;g3
e10222ch__99.txt;sample;21;g4
e10223ch_15.txt;sample;9;g1
e10223ch_16.txt;sample;9;g2
e10223ch_17.txt;sample;9;g3
e10223ch_18.txt;sample;9;g4
e10223ch_19.txt;sample;9;g5
e10223ch_20.txt;sample;9;g6
e10223ch_21.txt;sample;9;g7
e10223ch_23.txt;Q1_200;;
e10223ch_24.txt;Q1_100;;
e10223ch_25.txt;Q1_50;;
e10223ch_26.txt;Q1_20;;
e10223ch_27.txt;Q1_10;;
e10223ch_28.txt;Q1_5;;
e10223ch_29.txt;Q1_2;;
e10223ch_30.txt;Q1_1;;
e10223ch_52.txt;sample;9;g1
e10223ch_53.txt;sample;9;g2
e10223ch_54.txt;sample;9;g3
e10223ch_55.txt;sample;9;g4
e10223ch_56.txt;sample;9;g5
e10223ch_57.txt;sample;9;g6
e10223ch_58.txt;sample;9;g7
e10223ch_89.txt;sample;9;g1
e10223ch_90.txt;sample;9;g2
e10223ch_91.txt;sample;9;g3
e10223ch_92.txt;sample;9;g4
e10223ch_93.txt;sample;9;g5
e10223ch_94.txt;sample;9;g6
e10223ch_95.txt;sample;9;g7
e10224ch_104.txt;sample;4;g1
e10224ch_105.txt;sample;4;g2
e10224ch_106.txt;sample;4;g3
e10224ch_107.txt;sample;4;g4
e10224ch_108.txt;sample;4;g5
e10224ch_109.txt;sample;4;g6
e10224ch_110.txt;sample;4;g7
e10224ch_14.txt;sample;4;g1
e10224ch_15.txt;sample;4;g2
e10224ch_16.txt;sample;4;g3
e10224ch_17.txt;sample;4;g4
e10224ch_18.txt;sample;4;g5
e10224ch_19.txt;sample;4;g6
e10224ch_20.txt;sample;4;g7
e10224ch_22.txt;Q1_200;;
e10224ch_23.txt;Q1_100;;
e10224ch_24.txt;Q1_50;;
e10224ch_25.txt;Q1_20;;
e10224ch_26.txt;Q1_10;;
e10224ch_27.txt;Q1_5;;
e10224ch_28.txt;Q1_2;;
e10224ch_29.txt;Q1_1;;
e10224ch_51.txt;sample;4;g1
e10224ch_52.txt;sample;4;g2
e10224ch_53.txt;sample;4;g3
e10224ch_54.txt;sample;4;g4
e10224ch_55.txt;sample;4;g5
e10224ch_56.txt;sample;4;g6
e10224ch_57.txt;sample;4;g7
e10224ch_88.txt;sample;4;g1
e10224ch_89.txt;sample;4;g2
e10224ch_90.txt;sample;4;g3
e10224ch_91.txt;sample;4;g4
e10224ch_92.txt;sample;4;g5
e10224ch_93.txt;sample;4;g6
e10224ch_94.txt;sample;4;g7
