name;mass;ri;row.load;e10224ch_1.txt;e10224ch_2.txt;e10224ch_3.txt;e10224ch_4.txt;e10224ch_5.txt;e10224ch_6.txt;e10224ch_7.txt;e10224ch_8.txt;e10224ch_9.txt;e10224ch_10.txt;e10224ch_11.txt;e10224ch_12.txt;e10224ch_13.txt;e10224ch_14.txt;e10224ch_15.txt;e10224ch_16.txt;e10224ch_17.txt;e10224ch_18.txt;e10224ch_19.txt;e10224ch_20.txt;e10224ch_21.txt;e10224ch_22.txt;e10224ch_23.txt;e10224ch_24.txt;e10224ch_25.txt;e10224ch_26.txt;e10224ch_27.txt;e10224ch_28.txt;e10224ch_29.txt;e10224ch_30.txt;e10224ch_31.txt;e10224ch_32.txt;e10224ch_33.txt;e10224ch_34.txt;e10224ch_35.txt;e10224ch_36.txt;e10224ch_37.txt;e10224ch_38.txt;e10224ch_39.txt;e10224ch_40.txt;e10224ch_41.txt;e10224ch_42.txt;e10224ch_43.txt;e10224ch_44.txt;e10224ch_45.txt;e10224ch_46.txt;e10224ch_47.txt;e10224ch_48.txt;e10224ch_49.txt;e10224ch_50.txt;e10224ch_51.txt;e10224ch_52.txt;e10224ch_53.txt;e10224ch_54.txt;e10224ch_55.txt;e10224ch_56.txt;e10224ch_57.txt;e10224ch_58.txt;e10224ch_59.txt;e10224ch_60.txt;e10224ch_61.txt;e10224ch_62.txt;e10224ch_63.txt;e10224ch_64.txt;e10224ch_65.txt;e10224ch_66.txt;e10224ch_67.txt;e10224ch_68.txt;e10224ch_69.txt;e10224ch_70.txt;e10224ch_71.txt;e10224ch_72.txt;e10224ch_73.txt;e10224ch_74.txt;e10224ch_75.txt;e10224ch_76.txt;e10224ch_77.txt;e10224ch_78.txt;e10224ch_79.txt;e10224ch_80.txt;e10224ch_81.txt;e10224ch_82.txt;e10224ch_83.txt;e10224ch_84.txt;e10224ch_85.txt;e10224ch_86.txt;e10224ch_87.txt;e10224ch_88.txt;e10224ch_89.txt;e10224ch_90.txt;e10224ch_91.txt;e10224ch_92.txt;e10224ch_93.txt;e10224ch_94.txt;e10224ch_95.txt;e10224ch_96.txt;e10224ch_97.txt;e10224ch_98.txt;e10224ch_99.txt;e10224ch_100.txt;e10224ch_101.txt;e10224ch_102.txt;e10224ch_103.txt;e10224ch_104.txt;e10224ch_105.txt;e10224ch_106.txt;e10224ch_107.txt;e10224ch_108.txt;e10224ch_109.txt;e10224ch_110.txt;e10224ch_111.txt;e10224ch_112.txt;e10224ch_113.txt;e10223ch_1.txt;e10223ch_2.txt;e10223ch_3.txt;e10223ch_4.txt;e10223ch_5.txt;e10223ch_6.txt;e10223ch_7.txt;e10223ch_8.txt;e10223ch_9.txt;e10223ch_10.txt;e10223ch_11.txt;e10223ch_12.txt;e10223ch_13.txt;e10223ch_14.txt;e10223ch_15.txt;e10223ch_16.txt;e10223ch_17.txt;e10223ch_18.txt;e10223ch_19.txt;e10223ch_20.txt;e10223ch_21.txt;e10223ch_22.txt;e10223ch_23.txt;e10223ch_24.txt;e10223ch_25.txt;e10223ch_26.txt;e10223ch_27.txt;e10223ch_28.txt;e10223ch_29.txt;e10223ch_30.txt;e10223ch_31.txt;e10223ch_32.txt;e10223ch_33.txt;e10223ch_34.txt;e10223ch_35.txt;e10223ch_36.txt;e10223ch_37.txt;e10223ch_38.txt;e10223ch_39.txt;e10223ch_40.txt;e10223ch_41.txt;e10223ch_42.txt;e10223ch_43.txt;e10223ch_44.txt;e10223ch_45.txt;e10223ch_46.txt;e10223ch_47.txt;e10223ch_48.txt;e10223ch_49.txt;e10223ch_50.txt;e10223ch_51.txt;e10223ch_52.txt;e10223ch_53.txt;e10223ch_54.txt;e10223ch_55.txt;e10223ch_56.txt;e10223ch_57.txt;e10223ch_58.txt;e10223ch_59.txt;e10223ch_60.txt;e10223ch_61.txt;e10223ch_62.txt;e10223ch_63.txt;e10223ch_64.txt;e10223ch_65.txt;e10223ch_66.txt;e10223ch_67.txt;e10223ch_68.txt;e10223ch_69.txt;e10223ch_70.txt;e10223ch_71.txt;e10223ch_72.txt;e10223ch_73.txt;e10223ch_74.txt;e10223ch_75.txt;e10223ch_76.txt;e10223ch_77.txt;e10223ch_78.txt;e10223ch_79.txt;e10223ch_80.txt;e10223ch_81.txt;e10223ch_82.txt;e10223ch_83.txt;e10223ch_84.txt;e10223ch_85.txt;e10223ch_86.txt;e10223ch_87.txt;e10223ch_88.txt;e10223ch_89.txt;e10223ch_90.txt;e10223ch_91.txt;e10223ch_92.txt;e10223ch_93.txt;e10223ch_94.txt;e10223ch_95.txt;e10223ch_96.txt;e10223ch_97.txt;e10223ch_98.txt;e10223ch_99.txt;e10223ch_100.txt;e10223ch_101.txt;e10223ch_102.txt;e10223ch_103.txt;e10223ch_104.txt;e10223ch_105.txt;e10223ch_106.txt;e10222ch__1.txt;e10222ch__2.txt;e10222ch__3.txt;e10222ch__4.txt;e10222ch__5.txt;e10222ch__6.txt;e10222ch__7.txt;e10222ch__8.txt;e10222ch__9.txt;e10222ch__10.txt;e10222ch__11.txt;e10222ch__12.txt;e10222ch__13.txt;e10222ch__14.txt;e10222ch__15.txt;e10222ch__16.txt;e10222ch__17.txt;e10222ch__18.txt;e10222ch__19.txt;e10222ch__20.txt;e10222ch__21.txt;e10222ch__22.txt;e10222ch__23.txt;e10222ch__24.txt;e10222ch__25.txt;e10222ch__26.txt;e10222ch__27.txt;e10222ch__28.txt;e10222ch__29.txt;e10222ch__30.txt;e10222ch__31.txt;e10222ch__32.txt;e10222ch__33.txt;e10222ch__34.txt;e10222ch__35.txt;e10222ch__36.txt;e10222ch__37.txt;e10222ch__38.txt;e10222ch__39.txt;e10222ch__40.txt;e10222ch__41.txt;e10222ch__42.txt;e10222ch__43.txt;e10222ch__44.txt;e10222ch__45.txt;e10222ch__46.txt;e10222ch__47.txt;e10222ch__48.txt;e10222ch__49.txt;e10222ch__50.txt;e10222ch__51.txt;e10222ch__52.txt;e10222ch__53.txt;e10222ch__54.txt;e10222ch__55.txt;e10222ch__56.txt;e10222ch__57.txt;e10222ch__58.txt;e10222ch__59.txt;e10222ch__60.txt;e10222ch__61.txt;e10222ch__62.txt;e10222ch__63.txt;e10222ch__64.txt;e10222ch__65.txt;e10222ch__66.txt;e10222ch__67.txt;e10222ch__68.txt;e10222ch__69.txt;e10222ch__70.txt;e10222ch__71.txt;e10222ch__72.txt;e10222ch__73.txt;e10222ch__74.txt;e10222ch__75.txt;e10222ch__76.txt;e10222ch__77.txt;e10222ch__78.txt;e10222ch__79.txt;e10222ch__80.txt;e10222ch__81.txt;e10222ch__82.txt;e10222ch__83.txt;e10222ch__84.txt;e10222ch__85.txt;e10222ch__86.txt;e10222ch__87.txt;e10222ch__88.txt;e10222ch__89.txt;e10222ch__90.txt;e10222ch__91.txt;e10222ch__92.txt;e10222ch__93.txt;e10222ch__94.txt;e10222ch__95.txt;e10222ch__96.txt;e10222ch__97.txt;e10222ch__98.txt;e10222ch__99.txt;e10222ch__100.txt;e10222ch__101.txt;e10222ch__102.txt;e10222ch__103.txt;e10222ch__104.txt;e10222ch__105.txt;e10222ch__106.txt;e10222ch__107.txt;e10222ch__108.txt;e10222ch__109.txt;e10222ch__110.txt;e10222ch__111.txt;e10222ch__112.txt;e10222ch__113.txt
#Alanine (3TMS);73;1366;0.5575221;NA;NA;NA;NA;NA;NA;;;;;;;NA;165204;33582;;;38776;46797;67415;NA;NA;508;776;1224;1826;2189;NA;14081;NA;NA;NA;7158;NA;0;NA;1271;NA;69213;77099;55271;59894;78339;29787;96662;NA;NA;NA;NA;NA;36229;74568;66525;95767;132936;133855;157437;NA;124412;125577;135385;126745;116097;45798;171329;NA;NA;NA;881;NA;NA;271;NA;0;2090;5172;11303;34758;NA;NA;NA;17230;NA;0;NA;NA;NA;60191;135246;91605;123468;180373;159938;223150;NA;194670;192155;184061;152166;173151;70643;;NA;64556;138853;NA;112160;169547;164053;228593;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Alanine (3TMS);73;1365.8;0.5283019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;NA;NA;NA;5641;20748;25680;29211;25793;29454;34853;NA;NA;NA;660;NA;1503;1466;2342;8203;NA;NA;NA;NA;NA;7586;NA;NA;NA;19075;18030;21555;31069;27851;34231;28924;NA;NA;NA;NA;NA;33369;47543;78340;107728;115013;63623;78683;NA;40428;44800;52121;68728;63583;79024;75453;NA;NA;NA;NA;NA;NA;NA;2;426;1894;3058;9798;27834;NA;NA;NA;9183;NA;0;NA;NA;NA;81570;117537;143355;260508;251876;148771;152611;NA;96714;104706;126980;157335;113719;152070;145603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Alanine (3TMS);73;1366.3;0.548672557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8951;10196;20178;2796;20091;36703;35827;NA;NA;NA;NA;NA;1796;1908;9127;17656;NA;21337;NA;9589;NA;35969;NA;460;NA;10916;30927;36476;28383;33247;36958;40633;NA;NA;NA;NA;NA;21048;22979;45935;66638;53870;95365;82351;NA;19112;50559;73433;33726;51448;58364;55066;NA;NA;NA;NA;1464;93;1151;1618;2280;4624;5907;22818;47119;NA;26680;NA;38893;NA;96167;NA;NA;NA;43618;47677;101432;114963;90197;169649;265138;NA;33237;86691;92062;70870;80372;112134;117225;NA;NA;NA
#Alanine;73;1431.7;0.672566354;NA;NA;NA;NA;NA;1554;1373;778;1493;1454;766;1992;NA;;57367;66261;82881;95922;118627;125804;NA;869;2407;4914;13134;36029;70048;156402;352291;NA;45772;NA;1486;NA;NA;NA;364510;NA;2366;2567;2860;2195;2189;407;2187;NA;NA;NA;NA;NA;0;57129;81808;103282;112657;185015;171004;NA;2297;2851;2431;2355;1775;209;1985;NA;NA;NA;NA;NA;1081;2005;4716;9814;26227;53592;118999;283250;NA;52429;NA;1019;NA;NA;NA;301910;NA;0;0;0;82382;123032;118151;151223;NA;1620;2247;2616;1643;1835;55;2094;NA;0;0;NA;61917;100895;173477;175241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Alanine;73;1432.2;0.6603774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;890;720;736;458;1242;949;1489;NA;25447;75214;72960;111469;116849;161906;212472;NA;850;1849;4358;9755;24918;47454;115335;278180;NA;NA;NA;NA;NA;1676;NA;242994;NA;2503;1940;1268;1631;1826;1158;1408;NA;NA;NA;NA;NA;35719;86031;88300;125660;136984;180978;240062;NA;2054;3165;2259;2517;2267;2558;1470;NA;NA;NA;NA;NA;352;2055;4929;10970;30513;52608;138652;343424;NA;354194;NA;1137;NA;NA;NA;259916;NA;46594;89167;99359;139693;156262;208945;259604;NA;2081;2579;2318;2598;2820;1770;1680;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Alanine;73;1432.3;0.619469047;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;;NA;NA;835;1665;1849;1253;1341;2030;1859;NA;44478;80268;121033;146898;143053;212058;251328;NA;1113;2209;4535;11295;25678;37153;138012;258965;NA;241056;NA;990;NA;NA;NA;314085;NA;0;1586;1553;896;1179;1390;766;NA;NA;NA;NA;NA;49248;87068;127429;159253;148820;227488;279676;NA;697;2473;2235;1093;1561;1680;1106;NA;NA;NA;NA;NA;964;2222;4740;12562;28342;42262;153959;313757;NA;297484;NA;1073;NA;NA;NA;335548;NA;50232;99876;165086;173130;159653;242029;308954;NA;NA;1836;2069;1569;1196;2134;1533;NA;NA;NA
#Butanoic acid 4-amino- (3TMS);73;1526;0.4778761;NA;NA;NA;NA;NA;NA;;;;;;;NA;;0;71045;59532;93494;54200;33853;NA;518;1307;3266;8751;21282;46659;107648;245287;NA;368253;NA;NA;NA;311648;NA;0;NA;NA;0;0;;0;;NA;NA;NA;NA;NA;NA;0;59554;63374;83596;114096;61459;38393;NA;NA;0;;0;;;;105;NA;NA;NA;NA;718;1691;3348;7178;16254;36626;81480;191987;NA;295952;NA;NA;NA;261980;NA;NA;NA;0;0;105293;49960;113411;75719;50436;NA;NA;;0;;NA;;;NA;0;0;NA;0;226181;86922;39038;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Butanoic acid 4-amino- (3TMS);73;1526.4;0.415094346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;NA;NA;NA;34132;56197;0;62805;65949;36456;63199;NA;0;1019;2882;6716;17520;34072;80146;198713;NA;NA;NA;NA;NA;282435;NA;613;NA;NA;;;;NA;;;NA;NA;NA;NA;NA;48322;0;70562;63011;68948;57572;83703;NA;NA;0;;;;;;NA;NA;0;NA;NA;285;1348;3256;7601;21289;38200;100910;250545;NA;353483;NA;NA;NA;351922;NA;NA;NA;0;81225;72642;100792;81242;62154;118628;NA;NA;0;NA;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
#Butanoic acid 4-amino- (3TMS);73;1527.2;0.371681422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;17825;29257;0;0;52915;63177;NA;238;1303;2944;7154;16917;24561;94214;182370;NA;223219;NA;NA;NA;234409;NA;NA;NA;NA;;;;NA;;;NA;NA;NA;NA;NA;0;0;0;51073;0;52809;66887;NA;NA;;;;NA;NA;;NA;NA;NA;NA;NA;645;1689;2830;8522;19474;28663;110228;230106;NA;276807;NA;NA;NA;257671;NA;0;NA;0;0;0;53985;42642;50988;140702;NA;NA;;;;;;;NA;NA;NA
#Citric acid (4TMS);73;1809.2;0.619469047;NA;NA;NA;NA;NA;19038;27060;18930;27970;25083;24867;27907;NA;77446;189334;244756;313255;445716;612625;548928;NA;NA;NA;2501;5411;16511;37106;147932;405222;NA;NA;NA;492035;NA;2139;NA;532825;NA;18057;0;26406;28449;24110;7003;26611;NA;NA;NA;NA;NA;91956;232277;314084;231824;583936;825028;521629;NA;8190;20427;21464;14908;10124;;14183;NA;NA;NA;311;NA;NA;NA;NA;NA;4649;17095;71153;321009;NA;NA;NA;433842;NA;1752;NA;511565;NA;106294;251752;335529;420435;624701;862134;595847;NA;7781;0;10633;6575;12982;;7050;NA;98704;277100;NA;376417;581214;844887;579775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
