File,Type,State,Time,Substrate,BR
e18057cz_17.cdf,sample,M0,0,glc,1
e18057cz_18.cdf,sample,M0,1,glc,1
e18057cz_19.cdf,sample,M0,1,glc,2
e18057cz_20.cdf,sample,M0,1,glc,3
e18057cz_21.cdf,sample,M0,1,glc,4
e18057cz_22.cdf,sample,M0,1,glc,5
e18057cz_24.cdf,sample,M0HS,1,glc,1
e18057cz_25.cdf,sample,M0HS,1,glc,2
e18057cz_26.cdf,sample,M0HS,1,glc,3
e18057cz_27.cdf,sample,M0HS,1,glc,4
e18057cz_28.cdf,sample,M0HS,1,glc,5
e18057cz_30.cdf,sample,M0,0,glc,2
e18057cz_32.cdf,sample,M1,1,glc,2
e18057cz_33.cdf,sample,M1,1,glc,3
e18057cz_34.cdf,sample,M1,1,glc,4
e18057cz_35.cdf,sample,M1,1,glc,5
e18057cz_37.cdf,sample,M1HS,1,glc,1
e18057cz_38.cdf,sample,M1HS,1,glc,2
e18057cz_39.cdf,sample,M1HS,1,glc,3
e18057cz_40.cdf,sample,M1HS,1,glc,4
e18057cz_41.cdf,sample,M1HS,1,glc,5
e18057cz_44.cdf,sample,M2,1,glc,2
e18057cz_45.cdf,sample,M2,1,glc,3
e18057cz_46.cdf,sample,M2,1,glc,4
e18057cz_49.cdf,sample,M2HS,1,glc,1
e18057cz_50.cdf,sample,M2HS,1,glc,2
e18057cz_51.cdf,sample,M2HS,1,glc,3
e18057cz_52.cdf,sample,M2HS,1,glc,4
e18057cz_53.cdf,sample,M2HS,1,glc,5
e18057cz_57.cdf,sample,M1,1,glc,1
e18057cz_58.cdf,sample,M2,1,glc,1
e18057cz_59.cdf,sample,M2,1,glc,5
e18060cz_13.cdf,sample,M0,0,glc,1
e18060cz_14.cdf,sample,M0,3,glc,1
e18060cz_15.cdf,sample,M0,3,glc,2
e18060cz_16.cdf,sample,M0,3,glc,3
e18060cz_17.cdf,sample,M0,3,glc,4
e18060cz_18.cdf,sample,M0,3,glc,5
e18060cz_20.cdf,sample,M0HS,3,glc,1
e18060cz_21.cdf,sample,M0HS,3,glc,2
e18060cz_22.cdf,sample,M0HS,3,glc,3
e18060cz_23.cdf,sample,M0HS,3,glc,4
e18060cz_24.cdf,sample,M0HS,3,glc,5
e18060cz_26.cdf,sample,M1,3,glc,1
e18060cz_29.cdf,sample,M1,3,glc,2
e18060cz_30.cdf,sample,M1,3,glc,3
e18060cz_32.cdf,sample,M1,3,glc,4
e18060cz_33.cdf,sample,M1,3,glc,5
e18060cz_35.cdf,sample,M1HS,3,glc,1
e18060cz_36.cdf,sample,M1HS,3,glc,2
e18060cz_37.cdf,sample,M1HS,3,glc,3
e18060cz_38.cdf,sample,M1HS,3,glc,4
e18060cz_39.cdf,sample,M1HS,3,glc,5
e18060cz_41.cdf,sample,M2,3,glc,1
e18060cz_42.cdf,sample,M2,3,glc,2
e18060cz_43.cdf,sample,M2,3,glc,3
e18060cz_44.cdf,sample,M2,3,glc,4
e18060cz_45.cdf,sample,M2,3,glc,5
e18060cz_47.cdf,sample,M2HS,3,glc,1
e18060cz_48.cdf,sample,M2HS,3,glc,2
e18060cz_49.cdf,sample,M2HS,3,glc,3
e18060cz_50.cdf,sample,M2HS,3,glc,4
e18060cz_51.cdf,sample,M2HS,3,glc,5
e18060cz_53.cdf,addQ1_200,Itaconat,,,
e18060cz_54.cdf,addQ1_100,Itaconat,,,
e18060cz_55.cdf,addQ1_50,Itaconat,,,
e18060cz_56.cdf,addQ1_20,Itaconat,,,
e18060cz_57.cdf,addQ1_10,Itaconat,,,
e18060cz_58.cdf,addQ1_5,Itaconat,,,
e18060cz_59.cdf,addQ1_2,Itaconat,,,
e18060cz_60.cdf,addQ1_1,Itaconat,,,
e18061cz_18.cdf,sample,M0,0,glc,1
e18061cz_19.cdf,sample,M0,24,glc,1
e18061cz_20.cdf,sample,M0,24,glc,2
e18061cz_21.cdf,sample,M0,24,glc,3
e18061cz_22.cdf,sample,M0,24,glc,4
e18061cz_23.cdf,sample,M0,24,glc,5
e18061cz_25.cdf,sample,M0HS,24,glc,1
e18061cz_26.cdf,sample,M0HS,24,glc,2
e18061cz_27.cdf,sample,M0HS,24,glc,3
e18061cz_28.cdf,sample,M0HS,24,glc,4
e18061cz_29.cdf,sample,M0HS,24,glc,5
