File,Metabolite,QuantMasses,,Peakarea
e18057cz_17.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,732450
e18057cz_18.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1488200
e18057cz_19.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1880425
e18057cz_20.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1789146
e18057cz_21.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1888541
e18057cz_22.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,
e18057cz_24.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1836402
e18057cz_25.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1857101
e18057cz_26.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2956433
e18057cz_27.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1566920
e18057cz_28.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,
e18057cz_30.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,742905
e18057cz_31.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,
e18057cz_32.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2597299
e18057cz_33.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2389458
e18057cz_34.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1745175
e18057cz_35.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2137822
e18057cz_37.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1951007
e18057cz_38.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2322203
e18057cz_39.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2606613
e18057cz_40.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1791039
e18057cz_41.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2115530
e18057cz_43.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,
e18057cz_44.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2131059
e18057cz_45.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,2321504
e18057cz_46.cdf,Itaconic acid_(2TMS),259 215 230 133 141,,1737390
