Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.005	1454.016721	3864521.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.01	2908.033442	8129075.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.02	5816.066884	1.7731509E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.05	14540.16721	5.0927493E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.1	29080.33442	7.2329699E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.2	58160.66884	8.4990226E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.5	145401.6721	1.54843235E8	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	1	290803.3442	2.90342318E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.005	2230.9477065	2.9640565E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.01	4461.895413	4.8045129E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.02	8923.790826	8.5020715E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.05	22309.477065	2.1356433E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.1	44618.95413	4.19638537E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.2	89237.90826	8.01814034E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.5	223094.77065	2.324487874E9	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	1	446189.5413	3.966339924E9	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.005	213.40162185000003	426763.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.01	426.80324370000005	827730.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.02	853.6064874000001	1240651.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.05	2134.0162185000004	2446051.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.1	4268.032437000001	1273992.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.2	8536.064874000002	5051028.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.5	21340.162185	9637358.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	1	42680.32437	1.5142914E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.005	56.12302165	1632224.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.01	-99.0	-99.0	-99.0
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.02	224.4920866	4514124.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.05	561.2302165	5.0699902E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.1	1122.460433	8.3075904E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.2	2244.920866	8.9281873E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.5	5612.302165	3.52765788E8	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	1	11224.60433	1.181284293E9	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.005	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.01	-99.0	-99.0	-99.0
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.02	1332.0900492	253039.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.05	3330.225123	1.0723213E7	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.1	6660.450246	1.3957541E7	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.2	13320.900492	9769677.0	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	0.5	33302.25123	4.503558E7	NaN
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C	1	66604.50246	1.57052919E8	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.005	-99.0	-99.0	-99.0
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.01	914.8433331	2514250.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.02	1829.6866662	3391653.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.05	4574.2166655	4916857.0	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.1	9148.433331	1.8659241E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.2	18296.866662	5.4662101E7	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	0.5	45742.166655	1.35438569E8	NaN
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C	1	91484.33331	1.74100911E8	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.005	144.092219	539355.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.01	288.184438	1137466.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.02	576.368876	2621985.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.05	1440.9221900000002	7730806.0	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.1	2881.8443800000005	1.6250023E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.2	5763.688760000001	3.2696195E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	0.5	14409.2219	8.6272716E7	NaN
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B	1	28818.4438	1.91240331E8	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.005	-99.0	-99.0	-99.0
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.01	-99.0	-99.0	-99.0
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.02	1216.0166768	2688412.0	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.05	3040.0416920000002	3411377.0	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.1	6080.0833840000005	1.7179802E7	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.2	12160.166768000001	5.0217791E7	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	0.5	30400.41692	1.26613542E8	NaN
Proline_(1TMS)_BP_RI:1172_IDENT:A+B	1	60800.83384	1.4923723E8	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.005	-99.0	-99.0	-99.0
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.01	381.15566400000006	2514749.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.02	762.3113280000001	2982728.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.05	1905.7783200000003	3229560.0	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.1	3811.5566400000007	1.7850582E7	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.2	7623.113280000001	5.3885539E7	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	0.5	19057.7832	1.35290567E8	NaN
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D	1	38115.5664	1.55658199E8	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.005	213.40162185000003	218100.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.01	426.80324370000005	365896.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.02	853.6064874000001	1729623.0	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.05	2134.0162185000004	1.4039317E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.1	4268.032437000001	2.5061837E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.2	8536.064874000002	2.6525182E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	0.5	21340.162185	9.7182457E7	NaN
Valine_(2TMS)_MP_RI:1212_IDENT:B+D	1	42680.32437	2.89781119E8	NaN
Serine_(2TMS)_BP_RI:1260_IDENT:C+D	0.005	570.939195	3034629.0	NaN
