file,metabolite,quantMasses,intensity,rt,ri
e18057cz_7_wash.cdf,c10,71;85;99,1.43778099E8,409.8,1000.0
e18057cz_7_wash.cdf,c12,71;85;99,1.00256649E8,711.4,1200.0
e18057cz_7_wash.cdf,c15,71;85;99,1.43633257E8,1114.6,1500.0
e18057cz_7_wash.cdf,c17,71;85;99,1.54066425E8,1322.4,1700.0
e18057cz_7_wash.cdf,c19,71;85;99,1.41762509E8,1499.2,1900.0
e18057cz_7_wash.cdf,c22,71;85;99,1.38715743E8,1682.8,2200.0
e18057cz_7_wash.cdf,c28,71;85;99,1.13608174E8,1933.6,2800.0
e18057cz_7_wash.cdf,c32,71;85;99,9.6464353E7,2068.0,3200.0
e18057cz_7_wash.cdf,c36,71;85;99,8.5106608E7,2252.0,3600.0
e18057cz_10_Quant1_50.cdf,c10,71;85;99,1.58665539E8,410.2,1000.0
e18057cz_10_Quant1_50.cdf,c12,71;85;99,1.17343537E8,711.4,1200.0
e18057cz_10_Quant1_50.cdf,c15,71;85;99,1.65470491E8,1114.6,1500.0
e18057cz_10_Quant1_50.cdf,c17,71;85;99,1.78289657E8,1322.4,1700.0
e18057cz_10_Quant1_50.cdf,c19,71;85;99,1.65948316E8,1499.4,1900.0
e18057cz_10_Quant1_50.cdf,c22,71;85;99,1.60144603E8,1682.8,2200.0
e18057cz_10_Quant1_50.cdf,c28,71;85;99,1.29927169E8,1933.6,2800.0
e18057cz_10_Quant1_50.cdf,c32,71;85;99,1.10759395E8,2068.0,3200.0
e18057cz_10_Quant1_50.cdf,c36,71;85;99,9.7944862E7,2252.0,3600.0
e18057cz_11_Quant1_20.cdf,c10,71;85;99,1.57017919E8,409.6,1000.0
e18057cz_11_Quant1_20.cdf,c12,71;85;99,1.19235684E8,711.2,1200.0
e18057cz_11_Quant1_20.cdf,c15,71;85;99,1.65375838E8,1114.6,1500.0
e18057cz_11_Quant1_20.cdf,c17,71;85;99,1.80393103E8,1322.4,1700.0
e18057cz_11_Quant1_20.cdf,c19,71;85;99,1.72904851E8,1499.2,1900.0
e18057cz_11_Quant1_20.cdf,c22,71;85;99,1.61646602E8,1682.8,2200.0
e18057cz_11_Quant1_20.cdf,c28,71;85;99,1.30322364E8,1933.4,2800.0
e18057cz_11_Quant1_20.cdf,c32,71;85;99,1.1068311E8,2068.0,3200.0
e18057cz_11_Quant1_20.cdf,c36,71;85;99,9.6625723E7,2251.8,3600.0
e18057cz_12_Quant1_10.cdf,c10,71;85;99,1.4707078E8,409.4,1000.0
e18057cz_12_Quant1_10.cdf,c12,71;85;99,1.09473414E8,710.6,1200.0
e18057cz_12_Quant1_10.cdf,c15,71;85;99,1.51792314E8,1113.8,1500.0
e18057cz_12_Quant1_10.cdf,c17,71;85;99,1.71576186E8,1321.6,1700.0
e18057cz_12_Quant1_10.cdf,c19,71;85;99,1.68096472E8,1498.4,1900.0
e18057cz_12_Quant1_10.cdf,c22,71;85;99,1.54049761E8,1682.0,2200.0
e18057cz_12_Quant1_10.cdf,c28,71;85;99,1.23545932E8,1933.0,2800.0
e18057cz_12_Quant1_10.cdf,c32,71;85;99,1.04156646E8,2067.4,3200.0
e18057cz_12_Quant1_10.cdf,c36,71;85;99,9.088747E7,2250.4,3600.0
e18057cz_13_Quant1_5.cdf,c10,71;85;99,1.60824894E8,409.8,1000.0
e18057cz_13_Quant1_5.cdf,c12,71;85;99,1.22221171E8,710.8,1200.0
e18057cz_13_Quant1_5.cdf,c15,71;85;99,1.77116013E8,1114.0,1500.0
e18057cz_13_Quant1_5.cdf,c17,71;85;99,1.95025458E8,1321.6,1700.0
e18057cz_13_Quant1_5.cdf,c19,71;85;99,1.97990686E8,1498.4,1900.0
e18057cz_13_Quant1_5.cdf,c22,71;85;99,1.76569622E8,1682.0,2200.0
e18057cz_13_Quant1_5.cdf,c28,71;85;99,1.42149686E8,1933.0,2800.0
e18057cz_13_Quant1_5.cdf,c32,71;85;99,1.18509E8,2067.6,3200.0
e18057cz_13_Quant1_5.cdf,c36,71;85;99,1.02770453E8,2250.6,3600.0
e18057cz_14_Quant1_2.cdf,c10,71;85;99,1.63579795E8,409.8,1000.0
e18057cz_14_Quant1_2.cdf,c12,71;85;99,1.27912774E8,710.8,1200.0
e18057cz_14_Quant1_2.cdf,c15,71;85;99,1.94541282E8,1113.8,1500.0
e18057cz_14_Quant1_2.cdf,c17,71;85;99,2.14824475E8,1321.4,1700.0
e18057cz_14_Quant1_2.cdf,c19,71;85;99,2.13966771E8,1498.2,1900.0
e18057cz_14_Quant1_2.cdf,c22,71;85;99,1.92873982E8,1681.8,2200.0
e18057cz_14_Quant1_2.cdf,c28,71;85;99,1.57245732E8,1933.0,2800.0
