Metabolite,e18057cz_17.cdf,e18057cz_18.cdf,e18057cz_19.cdf,e18057cz_20.cdf,e18057cz_21.cdf,e18057cz_22.cdf,e18057cz_24.cdf,e18057cz_25.cdf,e18057cz_26.cdf,e18057cz_27.cdf,e18057cz_28.cdf,e18057cz_30.cdf,e18057cz_32.cdf,e18057cz_33.cdf,e18057cz_34.cdf,e18057cz_35.cdf,e18057cz_37.cdf,e18057cz_38.cdf,e18057cz_39.cdf,e18057cz_40.cdf,e18057cz_41.cdf,e18057cz_44.cdf,e18057cz_45.cdf,e18057cz_46.cdf,e18057cz_49.cdf,e18057cz_50.cdf,e18057cz_51.cdf,e18057cz_52.cdf,e18057cz_53.cdf,e18057cz_57.cdf,e18057cz_58.cdf,e18057cz_59.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,0.003796713070103072,0.309403592282723,0.3062950092474622,0.2855606648366251,0.2963670784730571,0.2793110112898711,0.2586801220758645,0.2803738784022111,0.2659523997980401,0.26967669615104123,0.27925692590505574,0.0022446386953543364,0.33235674997249204,0.26588521272096394,0.256472493171131,0.2664217295287432,0.3276842923046002,0.3176826329220774,0.2753818079860304,0.2791728624060986,0.2673929869320378,0.2836234163819856,0.2814732466991812,0.27406564364505237,0.31146574702446184,0.27161972001357765,0.2594460687499806,0.28881407500463496,0.2582049082048397,0.31927267136566967,0.3119837583371722,0.2547676633002929,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,-4.371175696318407E-4,0.12207327407605899,0.12709018405476633,0.13944264246049717,0.09874323798994594,0.0683208802241092,0.1194422998730353,0.1297960011873941,0.1338467565325316,0.09097498697572677,0.05259288967060883,2.066450782065068E-5,0.1447540697403992,0.14674634966552727,0.09301576459573443,0.1022505060620451,0.15228973096138662,0.13919540368613753,0.179256555071163,0.10885096995670956,0.12369805293107211,0.12520223338886224,0.1293302319463381,0.09400245810961981,0.14349027483488647,0.12979696256814913,0.1360167039353252,0.10570872913820882,0.1049196752905436,0.15245183733534395,0.14108695091781037,0.10652641901091536,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,0.003944982247360186,0.0038361834371627894,0.0054948317111180554,0.003820318011504776,0.003874510749786997,0.02630186805146842,0.004761013970427398,0.004134218008055183,0.004791595006522552,7.171484274672274E-4,0.011841828947868834,-0.002502992736798361,-0.0013505488984348855,0.011527601847868855,0.009761678101654354,-0.004360864361275366,0.0043895933636219795,0.003342818174185645,0.008114653577440869,0.003130801386582733,-0.003136530803520349,-0.002331681320099807,0.045290610850968756,0.0022926210790669113,-0.0013642356430822915,0.0017153257724052695,0.008212284399332992,-0.012959383174106087,1.1438579339293727E-4,-0.006187843034534356,0.008290374657019308,3.002865059106315E-4,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,0.0101891441350614,0.04533487846539227,0.045358722483163805,0.05630020541218439,0.03937224298224906,-0.06331902737321078,0.049032426487111445,0.11957385064271454,0.12972170665324978,0.026386617928421126,-0.04833471065641712,0.00996608242820164,0.07237104145010341,0.11162461287235113,0.05260723124398595,0.03633539077437963,0.07127447057908022,0.08048567245376288,0.14860368511198813,0.04098316017289989,0.05183686919402077,0.09780204273213916,0.10067348819369669,0.03703204142433408,0.07221204146588855,0.07652461148834233,0.11086185087483048,0.03621994277011467,0.045144243625305294,0.07588813597240492,0.08959598578350463,0.03511202877741153,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,-0.004493360038828182,-0.0027842096897836613,0.0062665464016808566,-2.3597987957190518E-4,0.004419158106421573,0.1201542583672774,0.0052461133112760815,-0.003483824768762071,1.0622989372849548E-4,-3.5491800870877043E-4,0.062300534148553764,5.9749713378469E-4,0.00593987933989551,-0.002085688967822895,0.004458889433753643,0.0028418057601647126,0.006373287185092712,0.004599882392097729,4.239952621578489E-4,0.004071181613634611,0.002835418000324382,0.006833052909845152,-0.012706411712825251,0.004924216427279108,-0.0037637773100567045,-5.800569563198655E-6,0.005030598730291269,0.00737314214404483,0.0036391632460337085,0.004678921969867467,7.973156490699185E-4,0.0013422316887518157,276.0 277.0 278.0 
Succinic acid 249_(2TMS)_MP_RI:1327_IDENT:A+D,1.5531294299691423E-4,0.007097444931131408,0.007474371983742139,0.011844297727671616,0.008559665351391571,0.018807530835223865,0.00715806292702129,0.008114360651768172,0.008162751347366328,0.004711574843461067,0.04007483201896065,-3.264286415392044E-4,0.013664327454267693,0.01713008197681992,0.010506284693304089,0.01269070038804917,0.009383359376820319,0.009581219828959299,0.011943903597690306,0.009004883104129216,0.007102475219538088,0.01469740485612653,-0.0017643740519921306,0.0055538029006985,0.005256018949775273,0.008125179830137509,0.011515433587242888,0.01145030163843742,0.009401833765027052,0.014127081472765573,0.010778326871387234,0.009548859974232413,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,0.07336330131868099,0.10895014288062425,0.11317414348229539,0.11426592519401751,0.1056059114991423,NA,0.098005398497798,0.10294379194663955,0.10553334330430028,0.09084530923863339,NA,0.07288213165002387,0.1260673503782371,0.12731217890732424,0.10818406457979131,0.11313952053987726,0.10241715878146467,0.10717147583746209,0.11442985696008195,0.17382645493412444,0.10511408994290923,0.12244987750834296,0.039169189939393174,0.11363283834390106,0.10165108628500208,0.09969201591864124,0.10604249930750663,0.09961211936563621,0.09898097591677261,0.12385814128615082,0.11652971268285829,0.11115967595574389,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,2.5208595190605033E-4,0.003960329955604675,0.0029727423444081183,0.003860262581554597,2.99387235900783E-4,NA,0.0030452268730375557,0.0029462199475108856,0.0023227317671395964,-5.402362331779596E-4,NA,-0.0010492729734672282,0.0012349987817335155,0.004152086779436714,-6.383063437700033E-4,6.207668446501996E-4,2.4207210577186942E-4,0.0029294690534012718,0.004991327355749081,-6.323811472565055E-4,6.006081305079054E-4,0.0036368801512991957,0.08245936193439594,2.2918070519874096E-5,0.0036120145127713004,0.0020370161691111036,0.0034259497738226407,7.858711508230702E-4,1.417927909245189E-4,0.003853186917683351,0.003977269757238594,1.7715784672497673E-4,204.0 205.0 206.0 207.0 208.0 
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B,0.1268478779208393,0.05059574523862579,0.02687132195557206,0.026644221638487058,0.028551575528559383,0.09389765255868603,0.018673983373602522,0.030405880888196,0.016277917867435158,0.06799155565261703,0.12867647058823528,0.14835867129817595,0.004914484711396072,0.05593648700620845,0.06025774991292233,0.021495335658637958,0.01678580342115536,NA,0.07220503054828216,0.04884670449122435,0.038914673330953234,0.04107415465615271,0.0577196519524618,0.0411804218351171,0.05133573825080094,0.048287509898062485,0.04405923884647928,0.07194367494262777,NA,0.00907563025210084,0.016546776846402315,0.06053438891637803,261.0 262.0 263.0 264.0 265.0 266.0 267.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,0.8936982162747761,0.8834758227512547,0.86331190921221,0.7245171753637795,0.732284746564256,NA,0.9030545427679751,0.8370717182255437,0.8501915690565373,0.7198333222059237,NA,0.8356439287423648,0.8983541863167364,0.7442377714209625,0.8531529645953596,0.8255673922242138,0.9319110476499347,0.9011244449647579,0.872782028904497,0.8791512690499159,0.6880407188239408,0.945064969487586,0.9295078157057004,0.8827113085574912,0.9408571604093691,0.8631827899862468,0.8781398485414598,0.9235561394406976,0.8127452822634352,0.9436249197929337,0.8943607359855723,0.8018395725424999,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
