file,metabolite,start,end,Area
e18057cz_7_wash.cdf,Unknown 1,375.0,379.6,1094012.0
e18057cz_7_wash.cdf,Unknown 2,375.0,380.8,674045.0
e18057cz_7_wash.cdf,Unknown 3,381.6,385.8,2113868.0
e18057cz_7_wash.cdf,Unknown 4,394.4,398.0,1013488.0
e18057cz_7_wash.cdf,Unknown 5,396.4,403.2,378095.0
e18057cz_7_wash.cdf,Unknown 6,399.4,409.6,3282914.0
e18057cz_7_wash.cdf,Unknown 7,404.2,414.4,8.4918995E7
e18057cz_7_wash.cdf,Unknown 8,414.4,421.8,251750.0
e18057cz_7_wash.cdf,Unknown 9,414.4,421.2,450303.0
e18057cz_7_wash.cdf,Unknown 10,421.4,428.0,492836.0
e18057cz_7_wash.cdf,Unknown 11,439.6,451.2,522505.0
e18057cz_7_wash.cdf,Unknown 12,449.6,458.8,204973.0
e18057cz_7_wash.cdf,Unknown 13,452.0,463.6,596482.0
e18057cz_7_wash.cdf,Unknown 14,455.2,464.8,386063.0
e18057cz_7_wash.cdf,Unknown 15,459.2,464.8,189575.0
e18057cz_7_wash.cdf,Unknown 16,468.0,483.0,1182345.0
e18057cz_7_wash.cdf,Unknown 17,475.2,482.4,1186954.0
e18057cz_7_wash.cdf,Unknown 18,476.2,483.8,96430.0
e18057cz_7_wash.cdf,Unknown 19,479.8,490.2,613586.0
e18057cz_7_wash.cdf,Unknown 20,475.2,492.2,3754686.0
e18057cz_7_wash.cdf,Unknown 21,478.8,492.0,1137394.0
e18057cz_7_wash.cdf,Unknown 22,492.4,498.0,168218.0
e18057cz_7_wash.cdf,Unknown 23,501.0,507.8,374104.0
e18057cz_7_wash.cdf,Unknown 24,505.8,514.2,137986.0
e18057cz_7_wash.cdf,Unknown 25,511.6,520.2,134012.0
e18057cz_7_wash.cdf,Unknown 26,521.4,540.6,7755571.0
e18057cz_7_wash.cdf,Unknown 27,531.2,539.2,239923.0
e18057cz_7_wash.cdf,Unknown 28,548.4,555.8,335543.0
e18057cz_7_wash.cdf,Unknown 29,550.0,556.0,119238.0
e18057cz_7_wash.cdf,Unknown 30,550.4,558.2,101432.0
e18057cz_7_wash.cdf,Unknown 31,562.2,576.0,3.2651919E7
e18057cz_7_wash.cdf,Unknown 32,570.0,578.2,103538.0
e18057cz_7_wash.cdf,Unknown 33,582.0,590.0,370824.0
e18057cz_7_wash.cdf,Unknown 34,584.0,592.0,135059.0
e18057cz_7_wash.cdf,Unknown 35,591.2,599.4,360118.0
e18057cz_7_wash.cdf,Unknown 36,595.0,601.0,168609.0
e18057cz_7_wash.cdf,Unknown 37,601.8,608.8,512644.0
e18057cz_7_wash.cdf,Unknown 38,604.0,611.6,6058894.0
e18057cz_7_wash.cdf,Unknown 39,607.6,637.0,2.4794254E7
e18057cz_7_wash.cdf,Unknown 40,607.2,618.6,361550.0
e18057cz_7_wash.cdf,Unknown 41,643.0,651.4,198639.0
e18057cz_7_wash.cdf,Unknown 42,672.4,680.0,683114.0
e18057cz_7_wash.cdf,Unknown 43,676.8,685.2,343657.0
e18057cz_7_wash.cdf,Unknown 44,687.0,698.2,1900562.0
e18057cz_7_wash.cdf,Unknown 45,691.6,696.0,133278.0
e18057cz_7_wash.cdf,Unknown 46,701.6,708.6,705116.0
e18057cz_7_wash.cdf,Unknown 47,707.2,720.2,6.3421011E7
e18057cz_7_wash.cdf,Unknown 48,710.8,720.4,1164258.0
e18057cz_7_wash.cdf,Unknown 49,736.0,746.6,265551.0
e18057cz_7_wash.cdf,Unknown 50,744.2,752.2,578715.0
e18057cz_7_wash.cdf,Unknown 51,763.4,773.4,110137.0
e18057cz_7_wash.cdf,Unknown 52,769.0,782.8,299272.0
e18057cz_7_wash.cdf,Unknown 53,770.0,780.2,320566.0
e18057cz_7_wash.cdf,Unknown 54,769.4,786.0,5.2402848E7
e18057cz_7_wash.cdf,Unknown 55,780.4,790.4,154302.0
e18057cz_7_wash.cdf,Unknown 56,783.2,789.8,158466.0
e18057cz_7_wash.cdf,Unknown 57,784.4,795.6,345008.0
e18057cz_7_wash.cdf,Unknown 58,806.0,811.8,64699.0
e18057cz_7_wash.cdf,Unknown 59,807.6,821.4,4074285.0
e18057cz_7_wash.cdf,Unknown 60,814.4,824.0,7905077.0
e18057cz_7_wash.cdf,Unknown 61,815.2,826.6,1492209.0
e18057cz_7_wash.cdf,Unknown 62,822.2,828.0,301840.0
e18057cz_7_wash.cdf,Unknown 63,858.4,868.6,547928.0
e18057cz_7_wash.cdf,Unknown 64,882.4,894.4,308597.0
e18057cz_7_wash.cdf,Unknown 65,888.8,894.8,290426.0
e18057cz_7_wash.cdf,Unknown 66,892.0,898.8,518854.0
e18057cz_7_wash.cdf,Unknown 67,895.6,902.4,362418.0
e18057cz_7_wash.cdf,Unknown 68,927.6,935.6,1450036.0
e18057cz_7_wash.cdf,Unknown 69,939.2,949.0,220600.0
e18057cz_7_wash.cdf,Unknown 70,946.6,953.4,175069.0
e18057cz_7_wash.cdf,Unknown 71,967.6,979.0,250325.0
e18057cz_7_wash.cdf,Unknown 72,972.6,978.4,753101.0
e18057cz_7_wash.cdf,Unknown 73,992.4,998.8,272703.0
e18057cz_7_wash.cdf,Unknown 74,994.0,1004.6,623692.0
e18057cz_7_wash.cdf,Unknown 75,1003.0,1014.2,190039.0
e18057cz_7_wash.cdf,Unknown 76,1014.0,1025.0,562191.0
e18057cz_7_wash.cdf,Unknown 77,1036.0,1045.0,131211.0
e18057cz_7_wash.cdf,Unknown 78,1051.0,1058.6,118780.0
e18057cz_7_wash.cdf,Unknown 79,1083.8,1090.4,123393.0
e18057cz_7_wash.cdf,Unknown 80,1096.0,1103.0,243537.0
e18057cz_7_wash.cdf,Unknown 81,1105.4,1111.4,364839.0
e18057cz_7_wash.cdf,Unknown 82,1110.4,1116.0,297333.0
e18057cz_7_wash.cdf,Unknown 83,1111.4,1117.2,296490.0
e18057cz_7_wash.cdf,Unknown 84,1111.0,1120.8,4.6004256E7
e18057cz_7_wash.cdf,Unknown 85,1115.4,1121.0,477836.0
e18057cz_7_wash.cdf,Unknown 86,1118.6,1127.0,4564500.0
e18057cz_7_wash.cdf,Unknown 87,1121.0,1129.8,349424.0
e18057cz_7_wash.cdf,Unknown 88,1130.4,1140.8,508973.0
e18057cz_7_wash.cdf,Unknown 89,1138.4,1144.2,93216.0
e18057cz_7_wash.cdf,Unknown 90,1147.0,1154.2,317829.0
e18057cz_7_wash.cdf,Unknown 91,1148.6,1154.2,156855.0
e18057cz_7_wash.cdf,Unknown 92,1147.8,1157.2,94844.0
e18057cz_7_wash.cdf,Unknown 93,1149.0,1159.6,175276.0
e18057cz_7_wash.cdf,Unknown 94,1183.0,1190.2,219657.0
e18057cz_7_wash.cdf,Unknown 95,1204.2,1210.6,64883.0
e18057cz_7_wash.cdf,Unknown 96,1198.2,1219.6,3796364.0
e18057cz_7_wash.cdf,Unknown 97,1213.0,1221.4,342173.0
e18057cz_7_wash.cdf,Unknown 98,1219.6,1226.0,436025.0
e18057cz_7_wash.cdf,Unknown 99,1220.8,1227.0,305650.0
e18057cz_7_wash.cdf,Unknown 100,1247.6,1254.6,94432.0
e18057cz_7_wash.cdf,Unknown 101,1249.6,1260.4,315238.0
e18057cz_7_wash.cdf,Unknown 102,1270.4,1275.8,347296.0
e18057cz_7_wash.cdf,Unknown 103,1275.6,1288.2,3359235.0
e18057cz_7_wash.cdf,Unknown 104,1287.4,1302.4,540215.0
e18057cz_7_wash.cdf,Unknown 105,1307.8,1315.8,1381311.0
e18057cz_7_wash.cdf,Unknown 106,1313.4,1325.4,3541039.0
e18057cz_7_wash.cdf,Unknown 107,1313.4,1340.0,8.6256876E7
e18057cz_7_wash.cdf,Unknown 108,1373.2,1379.8,265248.0
e18057cz_7_wash.cdf,Unknown 109,1374.0,1382.6,118148.0
e18057cz_7_wash.cdf,Unknown 110,1412.8,1418.4,758371.0
e18057cz_7_wash.cdf,Unknown 111,1415.8,1423.6,150291.0
e18057cz_7_wash.cdf,Unknown 112,1418.4,1425.0,324214.0
e18057cz_7_wash.cdf,Unknown 113,1428.0,1436.8,116820.0
e18057cz_7_wash.cdf,Unknown 114,1443.6,1451.0,223930.0
e18057cz_7_wash.cdf,Unknown 115,1451.4,1459.8,1380372.0
e18057cz_7_wash.cdf,Unknown 116,1451.0,1463.4,947281.0
e18057cz_7_wash.cdf,Unknown 117,1463.0,1469.8,573373.0
e18057cz_7_wash.cdf,Unknown 118,1470.0,1475.8,659772.0
e18057cz_7_wash.cdf,Unknown 119,1480.2,1489.8,711156.0
e18057cz_7_wash.cdf,Unknown 120,1481.2,1489.4,566790.0
e18057cz_7_wash.cdf,Unknown 121,1495.6,1503.8,7.9942852E7
e18057cz_7_wash.cdf,Unknown 122,1497.0,1505.4,2836509.0
e18057cz_7_wash.cdf,Unknown 123,1514.6,1524.4,313543.0
e18057cz_7_wash.cdf,Unknown 124,1524.8,1530.8,144729.0
e18057cz_7_wash.cdf,Unknown 125,1528.8,1537.8,652956.0
e18057cz_7_wash.cdf,Unknown 126,1533.8,1538.8,335391.0
e18057cz_7_wash.cdf,Unknown 127,1538.4,1546.2,253677.0
e18057cz_7_wash.cdf,Unknown 128,1542.8,1548.8,647919.0
e18057cz_7_wash.cdf,Unknown 129,1552.8,1558.4,113061.0
e18057cz_7_wash.cdf,Unknown 130,1565.4,1570.6,390919.0
e18057cz_7_wash.cdf,Unknown 131,1565.6,1571.8,444704.0
e18057cz_7_wash.cdf,Unknown 132,1571.0,1585.6,2783631.0
e18057cz_7_wash.cdf,Unknown 133,1575.6,1581.2,340895.0
e18057cz_7_wash.cdf,Unknown 134,1584.0,1589.6,574803.0
e18057cz_7_wash.cdf,Unknown 135,1590.4,1598.0,464482.0
e18057cz_7_wash.cdf,Unknown 136,1592.0,1596.6,82121.0
e18057cz_7_wash.cdf,Unknown 137,1590.0,1609.0,2.6833767E7
e18057cz_7_wash.cdf,Unknown 138,1611.8,1618.0,207190.0
e18057cz_7_wash.cdf,Unknown 139,1624.0,1638.0,8344224.0
e18057cz_7_wash.cdf,Unknown 140,1623.8,1631.6,796816.0
e18057cz_7_wash.cdf,Unknown 141,1641.8,1648.2,628569.0
e18057cz_7_wash.cdf,Unknown 142,1641.0,1649.2,718335.0
e18057cz_7_wash.cdf,Unknown 143,1648.8,1657.2,310262.0
e18057cz_7_wash.cdf,Unknown 144,1671.6,1681.0,1.9409731E7
e18057cz_7_wash.cdf,Unknown 145,1672.8,1678.6,430454.0
e18057cz_7_wash.cdf,Unknown 146,1673.0,1681.2,995587.0
e18057cz_7_wash.cdf,Unknown 147,1678.0,1687.2,97749.0
e18057cz_7_wash.cdf,Unknown 148,1678.2,1685.0,200417.0
e18057cz_7_wash.cdf,Unknown 149,1678.8,1693.0,7.6783042E7
e18057cz_7_wash.cdf,Unknown 150,1686.6,1691.6,145702.0
e18057cz_7_wash.cdf,Unknown 151,1688.4,1696.0,1251606.0
e18057cz_7_wash.cdf,Unknown 152,1695.8,1700.4,243529.0
e18057cz_7_wash.cdf,Unknown 153,1699.2,1713.2,2.7540787E7
e18057cz_7_wash.cdf,Unknown 154,1725.4,1730.6,124772.0
e18057cz_7_wash.cdf,Unknown 155,1729.4,1733.2,182866.0
e18057cz_7_wash.cdf,Unknown 156,1733.8,1739.8,215149.0
e18057cz_7_wash.cdf,Unknown 157,1736.4,1741.4,942744.0
e18057cz_7_wash.cdf,Unknown 158,1739.6,1749.4,1968695.0
e18057cz_7_wash.cdf,Unknown 159,1749.4,1758.4,1793454.0
e18057cz_7_wash.cdf,Unknown 160,1750.4,1755.2,122589.0
e18057cz_7_wash.cdf,Unknown 161,1766.4,1771.2,148857.0
e18057cz_7_wash.cdf,Unknown 162,1767.2,1776.2,3754493.0
e18057cz_7_wash.cdf,Unknown 163,1775.0,1786.0,5598366.0
e18057cz_7_wash.cdf,Unknown 164,1790.2,1794.8,246959.0
e18057cz_7_wash.cdf,Unknown 165,1792.4,1799.6,196250.0
e18057cz_7_wash.cdf,Unknown 166,1794.6,1799.6,414197.0
e18057cz_7_wash.cdf,Unknown 167,1810.0,1817.0,119728.0
e18057cz_7_wash.cdf,Unknown 168,1816.2,1821.4,272026.0
e18057cz_7_wash.cdf,Unknown 169,1821.4,1825.6,194828.0
e18057cz_7_wash.cdf,Unknown 170,1845.2,1851.4,2171159.0
e18057cz_7_wash.cdf,Unknown 171,1851.6,1860.2,7943367.0
e18057cz_7_wash.cdf,Unknown 172,1859.4,1866.2,132883.0
e18057cz_7_wash.cdf,Unknown 173,1873.8,1881.4,656097.0
e18057cz_7_wash.cdf,Unknown 174,1874.6,1882.0,618131.0
e18057cz_7_wash.cdf,Unknown 175,1888.2,1894.2,107285.0
e18057cz_7_wash.cdf,Unknown 176,1889.6,1896.4,151923.0
e18057cz_7_wash.cdf,Unknown 177,1891.8,1901.2,378577.0
e18057cz_7_wash.cdf,Unknown 178,1903.6,1908.8,99024.0
e18057cz_7_wash.cdf,Unknown 179,1925.2,1932.4,1.0700983E7
e18057cz_7_wash.cdf,Unknown 180,1930.6,1948.4,6.17601E7
e18057cz_7_wash.cdf,Unknown 181,1931.4,1937.4,213424.0
e18057cz_7_wash.cdf,Unknown 182,1937.2,1942.2,465178.0
e18057cz_7_wash.cdf,Unknown 183,1951.0,1960.0,932108.0
e18057cz_7_wash.cdf,Unknown 184,1965.0,1979.6,706028.0
e18057cz_7_wash.cdf,Unknown 185,1977.2,1983.2,482293.0
e18057cz_7_wash.cdf,Unknown 186,1998.2,2005.0,340397.0
e18057cz_7_wash.cdf,Unknown 187,2016.2,2022.4,490444.0
e18057cz_7_wash.cdf,Unknown 188,2051.6,2059.6,514673.0
e18057cz_7_wash.cdf,Unknown 189,2063.8,2081.8,5.2198636E7
e18057cz_7_wash.cdf,Unknown 190,2082.2,2090.6,155551.0
e18057cz_7_wash.cdf,Unknown 191,2084.8,2094.8,298070.0
e18057cz_7_wash.cdf,Unknown 192,2094.8,2103.6,489492.0
e18057cz_7_wash.cdf,Unknown 193,2140.6,2148.8,476499.0
e18057cz_7_wash.cdf,Unknown 194,2144.4,2151.4,249374.0
e18057cz_7_wash.cdf,Unknown 195,2191.4,2202.4,487648.0
e18057cz_7_wash.cdf,Unknown 196,2246.2,2268.2,4.5942973E7
e18057cz_7_wash.cdf,Unknown 197,2258.8,2271.6,502681.0
e18057cz_7_wash.cdf,Unknown 198,2337.0,2348.2,377601.0
e18057cz_10_Quant1_50.cdf,Unknown 1,375.0,378.4,967270.0
e18057cz_10_Quant1_50.cdf,Unknown 2,375.0,379.0,742489.0
