Metabolite	Dilution	Concentration	ChromIntensities	OwnBorderIntensities
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.005	1454.016721	3660112.0	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.01	2908.033442	1.2061661E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.02	5816.066884	1.659897E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.05	14540.16721	3.2532192E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.1	29080.33442	6.5822854E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.2	58160.66884	8.7766508E7	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	0.5	145401.6721	1.87168543E8	NaN
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D	1	290803.3442	2.78478487E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.005	2230.9477065	4.9654166E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.01	4461.895413	5.0051179E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.02	8923.790826	6.9912345E7	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.05	22309.477065	1.43488195E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.1	44618.95413	3.13215032E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.2	89237.90826	6.2061221E8	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	0.5	223094.77065	1.862299804E9	NaN
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C	1	446189.5413	4.301845367E9	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.005	213.40162185000003	180988.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.01	426.80324370000005	642126.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.02	853.6064874000001	913939.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.05	2134.0162185000004	1082334.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.1	4268.032437000001	2182170.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.2	8536.064874000002	3636425.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	0.5	21340.162185	8441469.0	NaN
Valine_(1TMS)_BP_RI:1084_IDENT:B+D	1	42680.32437	1.8886082E7	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.005	56.12302165	973607.0	NaN
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C	0.01	112.2460433	4780409.0	NaN
