Metabolite,e18061cz_18.cdf,e18061cz_19.cdf,e18061cz_20.cdf,e18061cz_21.cdf,e18061cz_22.cdf,e18061cz_23.cdf,e18061cz_25.cdf,e18061cz_26.cdf,e18061cz_27.cdf,e18061cz_28.cdf,e18061cz_29.cdf,e18061cz_31.cdf,e18061cz_32.cdf,e18061cz_33.cdf,e18061cz_34.cdf,e18061cz_35.cdf,e18061cz_36.cdf,e18061cz_38.cdf,e18061cz_39.cdf,e18061cz_40.cdf,e18061cz_41.cdf,e18061cz_42.cdf,e18061cz_44.cdf,e18061cz_45.cdf,e18061cz_46.cdf,e18061cz_47.cdf,e18061cz_48.cdf,e18061cz_50.cdf,e18061cz_51.cdf,e18061cz_52.cdf,e18061cz_53.cdf,e18061cz_54.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,2.3847014E7,1.7632072E7,1.6868369E7,2.4292125E7,2.189956E7,1.8814501E7,1.076404E7,1.2062729E7,8033291.0,2.4351879E7,1.4083717E7,3.4162003E7,1.2554763E7,NA,9436238.0,1.4042111E7,NA,NA,1.0478842E7,8790364.0,1.8379881E7,1.8310864E7,NA,NA,1.2819494E7,NA,NA,1.3303965E7,2.2619726E7,NA,2.059742E7,2.7243303E7,100.0 99.0 89.0 174.0 115.0 177.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,4.084022942E9,2.172017173E9,2.064710065E9,2.655738799E9,6.80997265E9,4.316679248E9,2.059179257E9,2.19378255E9,2.246090644E9,6.780763498E9,6.360903158E9,6.057878715E9,3.660055213E9,3.458864779E9,4.216572068E9,1.0889460857E10,1.0009729876E10,1.646819891E9,5.514244452E9,3.984843554E9,1.2161955854E10,1.1078211306E10,2.454763089E9,2.077530817E9,2.005010409E9,5.779973247E9,5.421599883E9,1.446455416E9,3.093808663E9,2.566871006E9,8.054356865E9,8.771538207E9,118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 
Valine_(1TMS)_BP_RI:1084_IDENT:B+D,4.2237139E7,5.3074595E7,5.3485423E7,7.1552662E7,1.4157922E8,9.3243763E7,3.7152913E7,4.1743115E7,3.8540034E7,1.01556116E8,7.154177E7,6.411633E7,4.3594649E7,4.2277107E7,4.3532716E7,1.06453865E8,3.7019739E7,4.8555889E7,5.8327678E7,4.8342802E7,1.35290274E8,1.0740824E8,5.7362416E7,5.5809825E7,3.6689235E7,8.2843968E7,8.5071103E7,2.4020978E7,2.5755349E7,3.1190811E7,1.00483034E8,1.17960589E8,130.0 87.0 103.0 156.0 146.0 
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,1.29005564E8,6.0968933E7,9.3025842E7,5.4812266E7,9.1892043E7,7.5218115E7,1.04977787E8,9.3876646E7,6.9740916E7,8.1957411E7,1.3969539E8,7.9730176E7,NA,7.149055E7,3.7441433E7,5.016096E7,1.1940117E8,5.3560865E7,7.9682049E7,8.5470369E7,1.66716846E8,1.62900039E8,7.2833721E7,4.105676E7,9.2061465E7,1.01895789E8,9.919974E7,3.8083163E7,1.74660533E8,1.11763707E8,1.12423409E8,1.85948688E8,86.0 117.0 116.0 100.0 103.0 118.0 
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C,5.4760265E7,5.040922E7,7.5949891E7,6.2453278E7,9.3718212E7,5.4061514E7,1.3478384E8,1.04778562E8,8.1245659E7,1.45012168E8,1.38786741E8,1.23897067E8,7.4916541E7,8.2912455E7,8.0871089E7,4.8362833E7,2.86296025E8,2.01763573E8,5.7778569E7,1.16827095E8,1.75014235E8,1.85082783E8,1.05772328E8,7.2854484E7,9.5256227E7,1.40552119E8,1.2473614E8,1.33328663E8,3.2580395E8,2.3367556E8,1.85571494E8,4.3579152E7,86.0 176.0 103.0 104.0 102.0 276.0 277.0 
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C,1.86138056E8,1.13766634E8,9.043287E7,1.42122544E8,2.15044999E8,1.9004269E8,7.4982004E7,9.2829766E7,1.00622813E8,1.86052919E8,1.44754489E8,1.59722954E8,1.43046805E8,6.9878642E7,6.9675649E7,1.55202379E8,7.568254E7,1.3344329E8,7.696268E7,6.0158099E7,2.22116389E8,2.36120896E8,8.9861555E7,1.43236216E8,6.4149188E7,1.4247362E8,1.35963154E8,3.7543316E7,4.9178419E7,6.6497526E7,1.85430016E8,2.13667087E8,86.0 87.0 146.0 130.0 103.0 
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B,1.1378014E7,9424538.0,9840026.0,1.888241E7,1.8395529E7,1.260495E7,9254399.0,8781052.0,9073901.0,2.1834322E7,1.8251682E7,1.3105348E7,9040769.0,1.5832342E7,8230225.0,2.285528E7,2.3017174E7,2.5717222E7,2.2370307E7,1.7791765E7,2.3785232E7,1.7480373E7,1.5696676E7,2.1275797E7,7324094.0,2.1931176E7,1.8774445E7,1.2020214E7,1.6963976E7,1.8572687E7,1.39216E7,2.5504294E7,191.0 88.0 117.0 149.0 133.0 
Proline_(1TMS)_BP_RI:1172_IDENT:A+B,1.25709075E8,9.2588732E7,7.6399817E7,1.60910755E8,2.16291379E8,1.39922274E8,6.5233907E7,6.6792946E7,NA,1.42335009E8,NA,1.7863726E7,NA,5.5932963E7,NA,2.04774446E8,NA,NA,6.7907733E7,5.2686102E7,1.74406431E8,2.5539831E7,6.598105E7,NA,NA,1.14940401E8,NA,NA,NA,NA,1.42308104E8,1.71338586E8,86.0 103.0 104.0 144.0 172.0 
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D,1.51162051E8,1.08357124E8,9.0020707E7,1.87511012E8,2.49503175E8,1.62072321E8,7.7899251E7,8.1267679E7,8.6556486E7,1.71640851E8,1.32374607E8,1.86244634E8,1.56111175E8,6.9071307E7,7.2745976E7,2.42563031E8,6.3829122E7,1.77118521E8,8.5868452E7,6.6714265E7,2.10094815E8,2.44686527E8,8.4727375E7,1.43637259E8,6.6836626E7,1.39121059E8,1.34578947E8,3.9494367E7,4.5348414E7,7.5216638E7,1.66884502E8,2.05305378E8,86.0 87.0 130.0 146.0 103.0 
Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D,NA,5745146.0,2.6321579E7,NA,NA,NA,1.68867923E8,5.8639512E7,3.1002926E7,1.5252704E7,1.9755822E7,NA,NA,NA,1.6490208E7,NA,1.22824398E8,NA,1.7525178E7,5.0573108E7,1.9566466E7,NA,1.7323179E8,NA,1.40152631E8,3.5176608E7,1.7330434E7,1.08856397E8,3.20297762E8,1.94966078E8,NA,2.8447674E7,86.0 102.0 176.0 117.0 99.0 
