Metabolite,e18060cz_13.cdf,e18060cz_14.cdf,e18060cz_15.cdf,e18060cz_16.cdf,e18060cz_17.cdf,e18060cz_18.cdf,e18060cz_20.cdf,e18060cz_21.cdf,e18060cz_22.cdf,e18060cz_23.cdf,e18060cz_24.cdf,e18060cz_26.cdf,e18060cz_29.cdf,e18060cz_30.cdf,e18060cz_32.cdf,e18060cz_33.cdf,e18060cz_35.cdf,e18060cz_36.cdf,e18060cz_37.cdf,e18060cz_38.cdf,e18060cz_39.cdf,e18060cz_41.cdf,e18060cz_42.cdf,e18060cz_43.cdf,e18060cz_44.cdf,e18060cz_45.cdf,e18060cz_47.cdf,e18060cz_48.cdf,e18060cz_49.cdf,e18060cz_50.cdf,e18060cz_51.cdf,e18060cz_53.cdf,e18060cz_54.cdf,e18060cz_55.cdf,e18060cz_56.cdf,e18060cz_57.cdf,e18060cz_58.cdf,e18060cz_59.cdf,e18060cz_60.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,0.011604595074069003,0.22848362692915739,0.2557192677237621,0.2563173661735885,0.1989374420262041,0.22822074737275894,0.25493624442682083,0.23433180458947106,0.24187658757352176,0.2088789026419783,NA,0.2180194614304934,0.20892695361618766,0.23104910416154595,0.24186858974017103,0.2831012478363087,0.2397632240856374,NA,0.2714953808903715,0.2118418242760183,0.2466701350009988,0.2068310865369997,0.19465296845005287,0.26900382783307225,0.2100083852843163,0.20488805266289076,0.23944212222959535,0.26031049494388053,NA,0.17077055743763475,0.2126534289150676,NA,NA,NA,NA,NA,NA,NA,NA,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,-2.6364377049857904E-4,0.17005735071795636,0.1543073388463301,0.17883050864076333,0.12261198788253554,0.1482571907845918,0.17562375682393283,0.15652373625243302,0.1694538197974212,0.12914070643011705,0.14069479025813153,0.19685726687640692,0.16551455250684902,0.1544117080960704,0.17209840132699897,0.1733107283272817,0.17741765570221707,0.1810125502420293,0.17449673697712434,0.16425671869174685,0.14059325925311397,0.16487545504566117,0.16358135491896425,0.16959354469489893,0.12382021283933602,0.13842532384316494,0.1813071208518509,0.17194312593931108,0.16469730117973005,0.15134279058133182,0.15418644428789535,NA,NA,NA,NA,NA,NA,NA,NA,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,0.0025481722569876248,0.0051628355783955695,0.011761111085030336,-0.016215314814231083,0.003154203291637173,-0.0030933400906619337,0.003382200304297091,0.002184523467132763,0.00761969278776115,-0.0011126650639843463,0.004894489949208098,0.008887615909985326,0.003878261716104484,0.0028423632940461742,0.014056508681541242,0.006209337034665239,0.006488369881598094,0.00485789882090744,-0.005784084628199003,-0.0011415655099664464,-0.007276875575943253,3.7509378366162963E-4,0.012750790631732426,0.013833871932864337,0.013405537460994977,9.103902372369853E-4,0.0054326340980110025,0.011129478044057263,-0.023882109913866495,0.013165916417730445,0.00611210139735697,NA,NA,NA,NA,NA,NA,NA,NA,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,0.048721376001354455,0.0569173441016665,0.029590810868341248,0.05705741695330897,0.01700349462093241,0.010860464162714628,0.047454310435009174,0.0459576465498327,0.06922546124227344,0.018364447415018713,0.027698707733205197,0.07156186827531977,0.025857369659166532,0.023054376936060484,0.035605082181715354,0.034033232830077115,0.043992898333596396,0.06130890803989613,0.0491095496349184,0.028711113300774065,-0.0455769406921062,0.05400363325170104,0.04171307805179723,0.03699396912619204,0.014855227757845993,0.016753773463733166,0.06843343071503201,0.05031382691971207,0.02497329488737468,0.031980188430358714,0.03238364693125189,NA,NA,NA,NA,NA,NA,NA,NA,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,0.0047096412376499645,0.007609064962883004,0.0036061420854739674,0.007642755899984738,1.4615233035242524E-4,0.005593054901529765,-0.0014284579482884286,0.008367929027007002,0.006231333251476286,-4.460491189447257E-4,-0.008211368324296524,-2.9416682508793434E-4,0.006164882289252575,-1.9504506852310236E-5,-3.0001941862974394E-4,0.0014688610321603776,-0.005207596100960421,0.012142090250115941,0.006472789390253912,0.009393613107585946,0.008956483058156708,4.046468127699946E-4,0.013138634424414397,0.002984319092579899,0.009584407127724275,0.004571801222929619,0.008905641615185474,0.014242978595618053,0.0037155485932396713,0.007000769855484654,0.0014475077615355534,NA,NA,NA,NA,NA,NA,NA,NA,276.0 277.0 278.0 
Succinic acid 249_(2TMS)_MP_RI:1327_IDENT:A+D,-5.028387161951379E-4,0.002914925079412163,0.0017559801098773037,0.001415510555604006,0.004579509390522346,0.005575579097527497,0.001074591974093289,0.002474709949312743,3.427050087120989E-4,0.0034496817261179973,0.0017595588937410608,0.005182582101820975,0.0036253875384591795,0.004594848842437792,0.00745125079975724,0.003315088814799689,-5.404047330241155E-5,0.0043832595574674026,0.003276510902479121,0.008295212129238167,0.001878029175192279,0.004191665350946442,0.0034465779460762618,0.0029419926042688776,0.008365933231504023,0.005771033167403465,0.0034042978583732016,0.004682024754856251,0.004636182403121232,0.005788707528866486,0.003254431593097689,NA,NA,NA,NA,NA,NA,NA,NA,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,0.002600987264702526,0.012739834153804221,0.015488396580830488,0.014384548877147718,0.007295354737188596,NA,0.020515457565474467,0.01032527995223453,0.03387527032036435,NA,0.006320341983101226,0.024545653158603985,NA,0.020891191102859814,0.01733410706760858,0.025702975364207008,0.01644515120730531,0.028585274161053678,0.019446237567868917,NA,0.01563837963131849,0.02125105935780244,0.019823512753350626,0.014716521209650987,0.012911438021642201,NA,0.017468533054887426,0.019754428021747983,0.013792866346851227,0.01611909458522464,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.0 246.0 247.0 248.0 249.0 250.0 
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,0.012203002507642008,0.0331984713137572,0.023604795700543753,0.027021131577762925,0.013323816300422871,NA,0.0184325509093966,0.02434061035431937,0.02337425664736285,NA,0.017602753531238427,0.026113240433859788,NA,0.016512603576024184,0.015252448693894204,0.02320569988751448,0.024099668541154667,0.022567353402484728,0.02106588921428547,NA,0.011896862688390318,0.02435320524487616,0.019738090564802142,0.02683000804943301,0.012599919608141729,NA,0.025077832327392115,0.02433039158236299,0.01922866117760854,0.01833722775515948,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.0 189.0 190.0 191.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,4.003486711152376E-4,0.0013271464171186087,6.731849493153236E-4,-0.0039018677215865542,-1.4444469683714024E-4,NA,9.90521034302149E-4,3.411381171152748E-4,0.0013452671104449017,NA,0.002764618035032892,0.0010886817553475505,NA,NA,NA,8.644106623019931E-4,6.711112435860142E-4,0.0010396000665893862,0.002207636807003745,NA,0.002063671563937776,4.999238719304167E-4,-0.0022634306345378666,0.001212812290105374,0.0019274075988272724,NA,1.8413006602225511E-4,3.129651486418598E-4,0.001955077413027596,0.0019131422997503357,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.0 205.0 206.0 207.0 208.0 
Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B,0.070507868541285,0.07637454859874879,0.0735698502332433,0.04102944982726219,0.03526108565158459,0.35659262841548933,0.07303654119480996,0.06437323097204452,0.11823044940547126,0.35884072708783527,0.055084984083060555,0.0673814396298603,0.2387112824978231,0.0031855838663346903,0.04470731911734773,0.050167040410049886,0.17339234104046242,0.027082279548136908,0.01306621023784805,0.2733476918286322,0.024715146487862764,0.029718271195746108,0.017424796111323797,0.1751762191108054,0.015640618920779337,0.23812072219249078,0.06070525555354885,0.05979617304492513,0.056540626298492803,0.024028853544610655,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.0 262.0 263.0 264.0 265.0 266.0 267.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,0.9165543341532619,0.841587508166461,0.7864373850116522,0.9003095845946321,0.8650221382895972,NA,NA,0.6992927505946515,NA,NA,0.7308491947634801,0.8630977158527706,NA,0.9199776063583258,NA,0.8266301659285713,0.6993960058877999,NA,NA,NA,NA,0.7487335660450068,NA,0.8159056531683598,NA,NA,NA,0.6852677239560814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,0.3528754737052058,0.3883766657578837,0.378546535667172,0.3595993523447367,0.3909466455177703,0.30210894293536533,0.35216533452062565,0.3391918341336853,0.342429457121797,0.21728566277424902,0.34006661451184494,0.4328900511382745,0.14264996417793796,0.2981550384183527,0.3985203686798241,0.3345344265849581,0.3797404443114668,0.3844434850047572,0.3451542682455583,0.3331617366952547,0.26320114269206696,0.41016286154887727,0.3391959029739622,0.3254571575225604,0.2633480302983587,0.2807554952924775,0.3477658624684099,0.3676131900007386,0.3315390985448953,0.3173016592303402,0.2925821093246657,NA,NA,NA,NA,NA,NA,NA,NA,188.0 189.0 190.0 191.0 
Malic acid 247_(3TMS)_MP_RI:1487_IDENT:B+D,-0.0050711825264870055,0.014498343450335146,0.009673916826843125,0.017470472684776733,0.013813442365339547,0.7952256874200909,0.003113195721013176,0.008065865720271756,0.008847333897587812,0.7163863111929205,0.012058341783012246,0.0159920130695226,0.7969903296803922,0.018544389426667,0.01158078103309133,0.022779794117091995,0.014780901372593759,0.01498116525809949,0.017994168118906768,0.8648990177441195,0.011496445675858951,0.018743537423711754,0.015176768733879251,0.017036996770214887,0.009700778794917339,0.739709599618387,0.010658970431927012,0.014740743835502215,0.013329966440412287,0.012082769575458908,0.8039464617885276,NA,NA,NA,NA,NA,NA,NA,NA,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B,-0.05243031692131644,-0.07399984028598668,-0.062458979731733526,-0.08513505086854217,-0.07740822485122546,NA,-0.07430867845194114,-0.08635760533097682,-0.0809298262525658,NA,-0.0825022624739226,-0.04837866567500342,NA,-0.03801575944374117,-0.020309007308231316,NA,-0.06707898650539729,-0.06254417415217754,-0.07895781696014284,NA,NA,-0.07622569455494384,-0.06462251170611318,-0.06613937761059632,NA,NA,-0.05465668979787966,NA,-0.07591730572315411,-0.06841797295382596,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.0 277.0 278.0 279.0 280.0 281.0 282.0 283.0 
Serine_(4TMS)_BP_RI:1571_IDENT:C+D,0.0036047528386429504,0.006120780521750205,0.005870694676136526,0.002307289339475833,-4.3029061874410364E-4,0.006480952486697931,-0.0014491560136766105,0.004801125626335465,0.007015160541392231,-0.001842997320198723,0.002102550384988193,-1.3606935147591353E-5,5.984630245739216E-4,-3.580895292095575E-4,-0.0011172892460758178,-0.002199869444734616,0.003446058015429565,3.9046111539456374E-4,-0.0010929011641177813,-0.002581735810192932,-0.0013077837232958493,-0.0025303715287453366,-8.61874308720928E-4,-0.0032945543278401182,-0.0023563841933099765,-0.003526798076628124,-0.0024506232763569272,-0.001879290276561344,1.1735165851724594E-4,-0.001229899776206046,-0.002284062765447654,NA,NA,NA,NA,NA,NA,NA,NA,290.0 291.0 292.0 293.0 294.0 295.0 
