File,Metabolite,Mass(m/z),SamplePeakArea,SampleMID,ReferencePeakArea,ReferenceMID,BackupPeakArea,BackupMID,UsedMID
e18060cz_13.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,226754,0.8681207192928052,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_13.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,25470,0.09751111213203625,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_13.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,8977,0.03436816857515859,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_13.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,0,0.0,39137,0.028941855245614205,696,0.002,quant
e18060cz_13.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,0,0.0,15649,0.011572452991762697,0,0.0,quant
e18060cz_14.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,78307,0.6975689712000143,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_14.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,8515,0.07585273078738965,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_14.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,3691,0.03287990949339462,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_14.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,19883,0.1771203577505189,39137,0.028941855245614205,696,0.002,quant
e18060cz_14.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,1861,0.016578030768682576,15649,0.011572452991762697,0,0.0,quant
e18060cz_15.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,87369,0.6764348371412423,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_15.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,9619,0.07447294461950589,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_15.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,3724,0.028832232639883555,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_15.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,26386,0.20428767197528666,39137,0.028941855245614205,696,0.002,quant
e18060cz_15.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2063,0.015972313624081573,15649,0.011572452991762697,0,0.0,quant
e18060cz_16.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,83919,0.6719648319267172,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_16.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,7813,0.0625610556827827,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_16.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,3887,0.031124385439520844,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_16.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,26899,0.21538843425203785,39137,0.028941855245614205,696,0.002,quant
e18060cz_16.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2368,0.018961292698941434,15649,0.011572452991762697,0,0.0,quant
e18060cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,128121,0.7000879747769211,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,14605,0.0798056904927134,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,6121,0.033446808045593884,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,31467,0.17194424256995633,39137,0.028941855245614205,696,0.002,quant
e18060cz_17.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2693,0.014715284114815281,15649,0.011572452991762697,0,0.0,quant
e18060cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,160382,0.6824620752749941,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,16457,0.07002829727027085,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,8071,0.034343950128720664,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,47160,0.200676581349333,39137,0.028941855245614205,696,0.002,quant
e18060cz_18.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2935,0.012489095976681347,15649,0.011572452991762697,0,0.0,quant
e18060cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,93857,0.671294210206344,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,10200,0.07295354575689304,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,3198,0.02287308228730823,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,30324,0.21688660015019848,39137,0.028941855245614205,696,0.002,quant
e18060cz_20.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,2236,0.01599256159925616,15649,0.011572452991762697,0,0.0,quant
e18060cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,80937,0.6806175736017559,1113685,0.8235713023280234,294838,0.8339,quant
e18060cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,9386,0.07892900089978724,128688,0.09516491984177634,45490,0.12869999999999998,quant
e18060cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,3304,0.02778408469773035,55104,0.04074946959282329,12524,0.0354,quant
e18060cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,23435,0.19707022545136524,39137,0.028941855245614205,696,0.002,quant
e18060cz_21.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,1855,0.01559911534936132,15649,0.011572452991762697,0,0.0,quant
e18060cz_22.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,87285,0.656707771248862,1113685,0.8235713023280234,294838,0.8339,quant
