Metabolite,e18060cz_13.cdf,e18060cz_14.cdf,e18060cz_15.cdf,e18060cz_16.cdf,e18060cz_17.cdf,e18060cz_18.cdf,e18060cz_20.cdf,e18060cz_21.cdf,e18060cz_22.cdf,e18060cz_23.cdf,e18060cz_24.cdf,e18060cz_26.cdf,e18060cz_29.cdf,e18060cz_30.cdf,e18060cz_32.cdf,e18060cz_33.cdf,e18060cz_35.cdf,e18060cz_36.cdf,e18060cz_37.cdf,e18060cz_38.cdf,e18060cz_39.cdf,e18060cz_41.cdf,e18060cz_42.cdf,e18060cz_43.cdf,e18060cz_44.cdf,e18060cz_45.cdf,e18060cz_47.cdf,e18060cz_48.cdf,e18060cz_49.cdf,e18060cz_50.cdf,e18060cz_51.cdf,e18060cz_53.cdf,e18060cz_54.cdf,e18060cz_55.cdf,e18060cz_56.cdf,e18060cz_57.cdf,e18060cz_58.cdf,e18060cz_59.cdf,e18060cz_60.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,1.3991403E7,5875457.0,7556968.0,5156730.0,8615651.0,1.2929066E7,6086142.0,6162436.0,4532145.0,1.0379011E7,NA,7300762.0,1.1044325E7,7557531.0,8791054.0,6574029.0,1.2010116E7,NA,7700087.0,1.3303002E7,1.709189E7,6775511.0,1.3624658E7,9275478.0,1.2373216E7,1.1418935E7,1.1038056E7,7918385.0,NA,1.3901231E7,1.0675001E7,NA,NA,NA,NA,NA,NA,NA,NA,100.0 99.0 89.0 174.0 115.0 177.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,4.290733095E9,2.424942848E9,2.425558189E9,2.243656678E9,4.453447933E9,5.620904782E9,2.388857526E9,2.51932646E9,1.827347924E9,4.7759151E9,2.493784641E9,2.28539888E9,4.653052619E9,4.205731825E9,2.87789328E9,2.759450003E9,2.508491924E9,2.157338122E9,2.808750772E9,4.933156035E9,7.425854956E9,2.383315376E9,2.187392417E9,3.162101296E9,5.498382178E9,5.539484372E9,3.228941302E9,4.023750903E9,3.614187971E9,5.448069682E9,4.401043076E9,NA,NA,NA,NA,NA,NA,NA,NA,118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 
Valine_(1TMS)_BP_RI:1084_IDENT:B+D,4.3982335E7,4.81946E7,5.444377E7,5.7988369E7,1.16051915E8,5.9761167E7,4.9716988E7,6.4624999E7,4.7341047E7,9.5380798E7,5.5923547E7,5.5747587E7,9.6603216E7,5.0806878E7,3.3278834E7,5.4553633E7,5.2768208E7,5.5447031E7,7.9331816E7,7.5861625E7,7.8055618E7,6.4393307E7,1.7680089E7,6.6578928E7,6.3508856E7,9.0196523E7,6.3643949E7,7.6287364E7,5.6413022E7,8.3854139E7,9.8190548E7,NA,NA,NA,NA,NA,NA,NA,NA,130.0 87.0 103.0 156.0 146.0 
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,1.23954441E8,8.2764856E7,8.2887144E7,8.1406391E7,5.9638603E7,2.20371548E8,7.4648376E7,7.2371921E7,5.2523013E7,1.33459896E8,6.6488878E7,5.517781E7,1.93740708E8,1.16787811E8,1.45147159E8,1.07216995E8,6.5724838E7,1.31881513E8,9.8246547E7,2.31615132E8,2.90825928E8,6.038642E7,1.24266966E8,1.14363466E8,2.38221974E8,2.16312541E8,1.75104982E8,1.72258141E8,2.11466694E8,2.46420862E8,1.15427402E8,NA,NA,NA,NA,NA,NA,NA,NA,86.0 117.0 116.0 100.0 103.0 118.0 
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C,1.09267901E8,1.36863355E8,1.18548809E8,1.22561657E8,8.0444582E7,2.91195266E8,1.18210082E8,9.4384488E7,8.2789309E7,1.52598571E8,7.9658547E7,1.37827102E8,1.91857439E8,1.57376767E8,2.13235666E8,1.93761786E8,1.4127495E8,1.28140546E8,1.59140519E8,4.12369394E8,4.28714461E8,1.37804256E8,1.41271724E8,1.53355986E8,3.83566715E8,2.85360982E8,2.41087256E8,2.15795024E8,3.55419459E8,3.40774371E8,1.49969781E8,NA,NA,NA,NA,NA,NA,NA,NA,86.0 176.0 103.0 104.0 102.0 276.0 277.0 
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C,1.72847529E8,1.59372176E8,1.6802116E8,1.18703945E8,2.6630169E8,9.6052291E7,1.81439179E8,2.01630546E8,1.49706801E8,2.29675927E8,1.92248201E8,1.77895108E8,2.8925292E8,1.78178589E8,8.3388012E7,1.74453129E8,1.81947335E8,1.74246012E8,1.96921592E8,9.9034591E7,1.02871207E8,2.49025004E8,3.5164106E7,2.24921343E8,1.19593633E8,3.08388926E8,2.05756091E8,2.47311994E8,7.5188007E7,2.49113349E8,2.87288562E8,NA,NA,NA,NA,NA,NA,NA,NA,86.0 87.0 146.0 130.0 103.0 
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B,1.1670233E7,1.3101834E7,1.246306E7,1.2238843E7,2.0988564E7,1.7658577E7,1.2568087E7,1.4243972E7,1.0229944E7,1.9626324E7,2.0272788E7,2.2174063E7,2.6713629E7,1.5499486E7,1.0704175E7,2.1199461E7,1.8005961E7,1.3657924E7,1.637071E7,2.6968542E7,3.0232981E7,1.9311085E7,9617426.0,1.7257927E7,2.7086417E7,3.5642078E7,1.6885622E7,1.8862406E7,2.1180742E7,2.4008657E7,2.1409254E7,NA,NA,NA,NA,NA,NA,NA,NA,191.0 88.0 117.0 149.0 133.0 
Butanoic acid_ 2-amino-_(2TMS)_MP_RI:1168_IDENT:C+D,7231425.0,7836712.0,6980452.0,7388440.0,7808654.0,8199393.0,7841841.0,8650703.0,8328017.0,8002572.0,6456967.0,8398463.0,1.676345E7,7998731.0,8600872.0,NA,1.260967E7,9866366.0,7887130.0,1.4573313E7,1.7746859E7,1.4800153E7,1.0827268E7,9779730.0,1.1896323E7,1.6593098E7,1.1030346E7,1.2488494E7,1.2904627E7,1.8016121E7,1.7213827E7,NA,NA,NA,NA,NA,NA,NA,NA,86.0 132.0 100.0 130.0 131.0 
Proline_(1TMS)_BP_RI:1172_IDENT:A+B,1.69905612E8,1.54911323E8,1.43465531E8,9.4887403E7,2.1217562E8,NA,NA,1.87978515E8,1.2977338E8,1.7221358E8,NA,1.74765079E8,NA,NA,6.777811E7,NA,2.2501264E7,1.55538944E8,1.65941389E8,1.2269938E7,NA,NA,NA,NA,1.1078875E7,NA,2.2079075E7,2.8797198E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.0 103.0 104.0 144.0 172.0 
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D,2.0384589E8,1.90507048E8,1.72465081E8,1.16802906E8,2.54219867E8,7.0727169E7,2.28163301E8,2.24549928E8,1.56168335E8,2.05120493E8,2.24977455E8,2.10709079E8,3.30154444E8,2.24355576E8,8.3758229E7,2.18206853E8,2.15793133E8,1.91867638E8,1.99643973E8,8.3333588E7,9.0862539E7,2.72060125E8,3.4130768E7,2.79582851E8,1.17830156E8,3.69662929E8,2.40874928E8,3.0551628E8,5.627514E7,2.6852126E8,3.15688555E8,NA,NA,NA,NA,NA,NA,NA,NA,86.0 87.0 130.0 146.0 103.0 
