"Lettercode","Metabolite","Letter_Derivate","Quant_ext","Batch_Id","Dilution","ChromIntensities","Concentration","Origin"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.005,2196023,416.3,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.01,2744321,832.6,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.05,28140107,4163,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.5,430631035,41630,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18057cz",0.1,34918046,8326,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.05,28140107,4163,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.5,430631035,41630,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18060cz",0.1,34918046,8326,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.2,78526113,16652,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",1,1121653109,83260,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.02,7473059,1665.2,"Qadd"
"Cit","Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","Cit",83260,"e18061cz",0.05,28140107,4163,"Qadd"
