"file","metabolite","quantMasses","intensity","rt","ri"
"e18057cz_7_wash.cdf","c10","71;85;99",143778099,409.8,1000
"e18057cz_7_wash.cdf","c12","71;85;99",100256649,711.4,1200
"e18057cz_7_wash.cdf","c15","71;85;99",143633257,1114.6,1500
"e18057cz_7_wash.cdf","c17","71;85;99",154066425,1322.4,1700
"e18057cz_7_wash.cdf","c19","71;85;99",141762509,1499.2,1900
"e18057cz_7_wash.cdf","c22","71;85;99",138715743,1682.8,2200
"e18057cz_7_wash.cdf","c28","71;85;99",113608174,1933.6,2800
"e18057cz_7_wash.cdf","c32","71;85;99",96464353,2068,3200
"e18057cz_7_wash.cdf","c36","71;85;99",85106608,2252,3600
"e18057cz_10_Quant1_50.cdf","c10","71;85;99",158665539,410.2,1000
"e18057cz_10_Quant1_50.cdf","c12","71;85;99",117343537,711.4,1200
"e18057cz_10_Quant1_50.cdf","c15","71;85;99",165470491,1114.6,1500
"e18057cz_10_Quant1_50.cdf","c17","71;85;99",178289657,1322.4,1700
"e18057cz_10_Quant1_50.cdf","c19","71;85;99",165948316,1499.4,1900
"e18057cz_10_Quant1_50.cdf","c22","71;85;99",160144603,1682.8,2200
"e18057cz_10_Quant1_50.cdf","c28","71;85;99",129927169,1933.6,2800
"e18057cz_10_Quant1_50.cdf","c32","71;85;99",110759395,2068,3200
"e18057cz_10_Quant1_50.cdf","c36","71;85;99",97944862,2252,3600
"e18057cz_11_Quant1_20.cdf","c10","71;85;99",157017919,409.6,1000
"e18057cz_11_Quant1_20.cdf","c12","71;85;99",119235684,711.2,1200
"e18057cz_11_Quant1_20.cdf","c15","71;85;99",165375838,1114.6,1500
"e18057cz_11_Quant1_20.cdf","c17","71;85;99",180393103,1322.4,1700
"e18057cz_11_Quant1_20.cdf","c19","71;85;99",172904851,1499.2,1900
"e18057cz_11_Quant1_20.cdf","c22","71;85;99",161646602,1682.8,2200
"e18057cz_11_Quant1_20.cdf","c28","71;85;99",130322364,1933.4,2800
"e18057cz_11_Quant1_20.cdf","c32","71;85;99",110683110,2068,3200
"e18057cz_11_Quant1_20.cdf","c36","71;85;99",96625723,2251.8,3600
"e18057cz_12_Quant1_10.cdf","c10","71;85;99",147070780,409.4,1000
"e18057cz_12_Quant1_10.cdf","c12","71;85;99",109473414,710.6,1200
"e18057cz_12_Quant1_10.cdf","c15","71;85;99",151792314,1113.8,1500
"e18057cz_12_Quant1_10.cdf","c17","71;85;99",171576186,1321.6,1700
