"file","metabolite","start","end","Area"
"e18057cz_7_wash.cdf","Unknown 1",375,379.6,1094012
"e18057cz_7_wash.cdf","Unknown 2",375,380.8,674045
"e18057cz_7_wash.cdf","Unknown 3",381.6,385.8,2113868
"e18057cz_7_wash.cdf","Unknown 4",394.4,398,1013488
"e18057cz_7_wash.cdf","Unknown 5",396.4,403.2,378095
"e18057cz_7_wash.cdf","Unknown 6",399.4,409.6,3282914
"e18057cz_7_wash.cdf","Unknown 7",404.2,414.4,84918995
"e18057cz_7_wash.cdf","Unknown 8",414.4,421.8,251750
"e18057cz_7_wash.cdf","Unknown 9",414.4,421.2,450303
"e18057cz_7_wash.cdf","Unknown 10",421.4,428,492836
"e18057cz_7_wash.cdf","Unknown 11",439.6,451.2,522505
"e18057cz_7_wash.cdf","Unknown 12",449.6,458.8,204973
"e18057cz_7_wash.cdf","Unknown 13",452,463.6,596482
"e18057cz_7_wash.cdf","Unknown 14",455.2,464.8,386063
"e18057cz_7_wash.cdf","Unknown 15",459.2,464.8,189575
"e18057cz_7_wash.cdf","Unknown 16",468,483,1182345
"e18057cz_7_wash.cdf","Unknown 17",475.2,482.4,1186954
"e18057cz_7_wash.cdf","Unknown 18",476.2,483.8,96430
"e18057cz_7_wash.cdf","Unknown 19",479.8,490.2,613586
"e18057cz_7_wash.cdf","Unknown 20",475.2,492.2,3754686
"e18057cz_7_wash.cdf","Unknown 21",478.8,492,1137394
"e18057cz_7_wash.cdf","Unknown 22",492.4,498,168218
"e18057cz_7_wash.cdf","Unknown 23",501,507.8,374104
"e18057cz_7_wash.cdf","Unknown 24",505.8,514.2,137986
"e18057cz_7_wash.cdf","Unknown 25",511.6,520.2,134012
"e18057cz_7_wash.cdf","Unknown 26",521.4,540.6,7755571
"e18057cz_7_wash.cdf","Unknown 27",531.2,539.2,239923
"e18057cz_7_wash.cdf","Unknown 28",548.4,555.8,335543
"e18057cz_7_wash.cdf","Unknown 29",550,556,119238
"e18057cz_7_wash.cdf","Unknown 30",550.4,558.2,101432
"e18057cz_7_wash.cdf","Unknown 31",562.2,576,32651919
"e18057cz_7_wash.cdf","Unknown 32",570,578.2,103538
"e18057cz_7_wash.cdf","Unknown 33",582,590,370824
"e18057cz_7_wash.cdf","Unknown 34",584,592,135059
"e18057cz_7_wash.cdf","Unknown 35",591.2,599.4,360118
"e18057cz_7_wash.cdf","Unknown 36",595,601,168609
"e18057cz_7_wash.cdf","Unknown 37",601.8,608.8,512644
