"File","Metabolite","Mass.m.z.","SamplePeakArea","SampleMID","ReferencePeakArea","ReferenceMID","BackupPeakArea","BackupMID","UsedMID"
"e18057cz_17.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,390575,0.868807459854567,1436175,0.82390301158372,294838,0.8339,"quant"
"e18057cz_17.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,43152,0.0959886820908769,169435,0.097201251078516,45490,0.1287,"quant"
"e18057cz_17.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,14947,0.0332485824808198,75879,0.0435301663209296,12524,0.0354,"quant"
"e18057cz_17.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,879,0.00195527557373658,47633,0.0273260376700384,696,0.002,"quant"
"e18057cz_17.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,0,0,14014,0.00803953334679566,0,0,"quant"
"e18057cz_18.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",174,373663,0.609229510040973,2963159,0.843625361610586,294838,0.8339,"quant"
"e18057cz_18.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",175,42092,0.0686278505943714,337659,0.0961331119849015,45490,0.1287,"quant"
"e18057cz_18.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",176,21601,0.0352188111918896,134779,0.038372217829861,12524,0.0354,"quant"
"e18057cz_18.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",177,163323,0.266285908073376,63011,0.0179395292862937,696,0.002,"quant"
"e18057cz_18.cdf","Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",178,12658,0.0206379200993907,13803,0.00392977928835777,0,0,"quant"
