"Metabolite","Dilution","Concentration","ChromIntensities","OwnBorderIntensities","Batch_Id"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.005,1454.016721,7720033,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.01,2908.033442,11092318,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.02,5816.066884,21550390,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.05,14540.16721,42450213,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.1,29080.33442,57990564,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.2,58160.66884,77995711,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",0.5,145401.6721,160074178,NA,"e18057cz"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D",1,290803.3442,203585989,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.005,2230.9477065,40549271,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.01,4461.895413,49952883,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.02,8923.790826,90695304,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.05,22309.477065,165966035,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.1,44618.95413,287509029,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.2,89237.90826,630023191,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",0.5,223094.77065,1888068189,NA,"e18057cz"
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C",1,446189.5413,3430124995,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.005,-99,-99,-99,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.01,426.8032437,259806,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.02,853.6064874,459515,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.05,2134.0162185,788792,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.1,4268.032437,1016771,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.2,8536.064874,1967324,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",0.5,21340.162185,4924368,NA,"e18057cz"
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D",1,42680.32437,9836645,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.005,56.12302165,4347916,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.01,112.2460433,5688375,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.02,224.4920866,14335758,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.05,561.2302165,32480073,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.1,1122.460433,55177414,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.2,2244.920866,125382367,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",0.5,5612.302165,399298905,NA,"e18057cz"
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C",1,11224.60433,790703841,NA,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.005,-99,-99,-99,"e18057cz"
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C",0.01,-99,-99,-99,"e18057cz"
