"Metabolite","QuantMasses","e18057cz_17.cdf","e18057cz_18.cdf","e18057cz_19.cdf","e18057cz_20.cdf","e18057cz_21.cdf","e18057cz_22.cdf","e18057cz_24.cdf","e18057cz_25.cdf","e18057cz_26.cdf","e18057cz_27.cdf","e18057cz_28.cdf","e18057cz_30.cdf","e18057cz_32.cdf","e18057cz_33.cdf","e18057cz_34.cdf","e18057cz_35.cdf","e18057cz_37.cdf","e18057cz_38.cdf","e18057cz_39.cdf","e18057cz_40.cdf","e18057cz_41.cdf","e18057cz_44.cdf","e18057cz_45.cdf","e18057cz_46.cdf","e18057cz_49.cdf","e18057cz_50.cdf","e18057cz_51.cdf","e18057cz_52.cdf","e18057cz_53.cdf","e18057cz_57.cdf","e18057cz_58.cdf","e18057cz_59.cdf","e18060cz_13.cdf","e18060cz_14.cdf","e18060cz_15.cdf","e18060cz_16.cdf","e18060cz_17.cdf","e18060cz_18.cdf","e18060cz_20.cdf","e18060cz_21.cdf","e18060cz_22.cdf","e18060cz_23.cdf","e18060cz_24.cdf","e18060cz_26.cdf","e18060cz_29.cdf","e18060cz_30.cdf","e18060cz_32.cdf","e18060cz_33.cdf","e18060cz_35.cdf","e18060cz_36.cdf","e18060cz_37.cdf","e18060cz_38.cdf","e18060cz_39.cdf","e18060cz_41.cdf","e18060cz_42.cdf","e18060cz_43.cdf","e18060cz_44.cdf","e18060cz_45.cdf","e18060cz_47.cdf","e18060cz_48.cdf","e18060cz_49.cdf","e18060cz_50.cdf","e18060cz_51.cdf","e18060cz_53.cdf","e18060cz_54.cdf","e18060cz_55.cdf","e18060cz_56.cdf","e18060cz_57.cdf","e18060cz_58.cdf","e18060cz_59.cdf","e18060cz_60.cdf","e18061cz_18.cdf","e18061cz_19.cdf","e18061cz_20.cdf","e18061cz_21.cdf","e18061cz_22.cdf","e18061cz_23.cdf","e18061cz_25.cdf","e18061cz_26.cdf","e18061cz_27.cdf","e18061cz_28.cdf","e18061cz_29.cdf","e18061cz_31.cdf","e18061cz_32.cdf","e18061cz_33.cdf","e18061cz_34.cdf","e18061cz_35.cdf","e18061cz_36.cdf","e18061cz_38.cdf","e18061cz_39.cdf","e18061cz_40.cdf","e18061cz_41.cdf","e18061cz_42.cdf","e18061cz_44.cdf","e18061cz_45.cdf","e18061cz_46.cdf","e18061cz_47.cdf","e18061cz_48.cdf","e18061cz_50.cdf","e18061cz_51.cdf","e18061cz_52.cdf","e18061cz_53.cdf","e18061cz_54.cdf"
"Aconitic acid_ cis-_(3TMS)_MP_RI:1747_IDENT:A+D","97.0 133.0 211.0 229.0 149.0 ",1299128,2144498,1967096,2576562,3691021,NA,1970599,1585319,1808392,3478789,NA,1648830,4008801,2149117,2744862,3674233,3913746,2992314,2058175,2635885,3100386,3252256,2684911,3267796,2818118,2885462,3060339,3420802,3505360,2303979,2237638,2716814,1579755,2577440,2096113,1095434,3843630,2315327,2022252,1387031,2138840,2857820,2922934,3203146,3939618,2541753,1668542,2525126,2210379,3020835,1859583,2457882,3953181,3970864,2114410,3699842,3204934,5934474,3172270,4450236,2987859,4550691,4024524,NA,NA,NA,NA,NA,NA,NA,NA,1813827,1506087,1534349,1317894,2522908,2941503,1121742,2256919,1979659,2791262,2627730,1343802,2437480,3724099,2518777,3945287,3871655,2111844,5677549,4243988,9720329,4096952,1888054,2249157,2458891,3695661,5472372,340535,3080062,2203199,3625409,4026673
"Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D","86.0 102.0 176.0 117.0 99.0 ",5355022,NA,35475695,13537268,49814973,NA,22020375,54718745,95396422,7208142,NA,7724556,59770561,NA,NA,57639256,26934761,23519668,220534356,15144903,37006251,41929768,74224834,18754025,29945885,35375750,103860513,65860574,56739734,83994559,57306676,59366471,6617585,16078893,8856821,46872737,NA,91391235,17329244,NA,10388778,7810702,NA,25962173,NA,6729879,79984261,33737075,13741156,19212776,45744372,203942508,153383958,6626645,113531105,16947383,189178896,9200172,58906276,12845600,138892275,43768428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5745146,26321579,NA,NA,NA,168867923,58639512,31002926,15252704,19755822,NA,NA,NA,16490208,NA,122824398,NA,17525178,50573108,19566466,NA,173231790,NA,140152631,35176608,17330434,108856397,320297762,194966078,NA,28447674
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D","86.0 248.0 174.0 133.0 100.0 ",66585315,101269524,91400216,60571749,50588725,425931,121129426,54493932,80865454,38917039,457122,45996545,105335740,45013871,82303665,44573842,120184125,2374376,65119459,64354516,22595624,136505114,83434559,60312121,125136127,50855689,76873043,72049208,70039675,122094817,66858656,38021850,101329348,23214063,14668845,36601985,28231718,2528955,32770575,16481539,66349683,3059166,16667136,29832481,3318781,33855553,42492217,34959696,19930234,23598199,44094399,5050891,22203343,24079309,102203502,31333930,34091671,3013923,46656386,16059802,27921015,25233797,3076361,NA,NA,NA,NA,NA,NA,NA,NA,162888568,61831369,18632253,26383352,30100021,51600941,93616272,98813671,91770507,42099416,48977183,16414498,25289329,38803499,30760310,9735010,28639043,13367362,34505431,30431033,60973881,56230316,59252485,22812141,70671228,46389811,36413828,20137400,52971801,64033664,55564097,42293589
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C","86.0 117.0 116.0 100.0 103.0 118.0 ",91918911,59760821,53158634,30006184,73142617,NA,64744203,52498353,46510683,15198087,NA,62135131,63927025,52103707,38941451,117930343,64568046,39403483,62221988,32471037,82791786,69622706,83535978,60126823,63375258,74245395,49114660,111656164,66853855,85220096,77613944,133063816,123954441,82764856,82887144,81406391,59638603,220371548,74648376,72371921,52523013,133459896,66488878,55177810,193740708,116787811,145147159,107216995,65724838,131881513,98246547,231615132,290825928,60386420,124266966,114363466,238221974,216312541,175104982,172258141,211466694,246420862,115427402,NA,NA,NA,NA,NA,NA,NA,NA,129005564,60968933,93025842,54812266,91892043,75218115,104977787,93876646,69740916,81957411,139695390,79730176,NA,71490550,37441433,50160960,119401170,53560865,79682049,85470369,166716846,162900039,72833721,41056760,92061465,101895789,99199740,38083163,174660533,111763707,112423409,185948688
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D","141.0 132.0 100.0 116.0 231.0 ",16396442,15796280,13848310,21508106,25550941,NA,15155702,24901161,40872324,15621692,NA,13062557,56519350,91588811,39020433,20638071,27301696,26482126,47677696,19706782,9603470,39401090,35956823,22172672,32355898,18585606,36809576,28328623,15093072,39980540,42527557,59476742,20202735,21583931,15347770,32563625,10655732,29373199,16451468,16020750,82531895,15545438,8803172,27439113,27255700,23237351,35096389,26437151,14198524,20189044,40922371,149992229,59663030,10362693,106165926,6565423,115398751,6459894,34886176,27983353,80473105,55653281,32502295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C","117.0 116.0 100.0 130.0 160.0 163.0 132.0 102.0 118.0 ",38123919,60669636,61654301,66239024,53277131,NA,65298560,41707140,58739322,47858342,NA,33209892,64759339,45749075,56761024,34382330,58183201,67352410,43631033,39271415,27409736,66342305,43722619,41302514,63413844,36169958,53575218,36884402,54869142,60602638,43929103,32951958,50289711,18523549,13526213,20212987,27365318,NA,NA,18112854,NA,NA,17968164,21123099,NA,19506332,NA,26921524,23770294,NA,NA,NA,NA,23314152,NA,26314198,NA,NA,NA,21510974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37685885,26002884,33308003,48790490,47858268,NA,43150027,50410767,3800127,29465880,17543750,99604679,56360685,NA,59536276,19322797,142339554,67147684,70167148,46771337,44828285,39499251,61087276,NA,30262481,31403458,23972631,33340539,59264318,34163973,34812762
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C","233.0 100.0 218.0 232.0 117.0 220.0 235.0 119.0 102.0 ",68039202,152045040,220248103,187628047,170268896,NA,209196001,203005230,354128773,148873047,NA,99044275,258185663,219167056,157820254,185326140,174434857,NA,215393648,152627344,135649393,239662667,206373890,181853770,NA,NA,257343862,220806117,221309787,243328523,198305321,189079858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B","191.0 88.0 117.0 149.0 133.0 ",12756103,9708498,11836510,9590545,19185913,NA,10125078,9154129,11767383,15105630,NA,10049790,14967357,9995858,13667164,16668555,13835301,16174434,8408638,15991203,16485441,10769095,12197303,15659098,10987158,12078429,15327895,16243496,24322329,9479206,11823394,15639692,11670233,13101834,12463060,12238843,20988564,17658577,12568087,14243972,10229944,19626324,20272788,22174063,26713629,15499486,10704175,21199461,18005961,13657924,16370710,26968542,30232981,19311085,9617426,17257927,27086417,35642078,16885622,18862406,21180742,24008657,21409254,NA,NA,NA,NA,NA,NA,NA,NA,11378014,9424538,9840026,18882410,18395529,12604950,9254399,8781052,9073901,21834322,18251682,13105348,9040769,15832342,8230225,22855280,23017174,25717222,22370307,17791765,23785232,17480373,15696676,21275797,7324094,21931176,18774445,12020214,16963976,18572687,13921600,25504294
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D","149.0 273.0 183.0 133.0 211.0 275.0 277.0 278.0 ",24886575,31731143,39769920,30605716,58735718,NA,43177687,40203102,57386190,45519713,NA,31949885,88246365,57764279,55269797,73405896,71337227,69937806,65756428,61091213,67174947,72088257,60017746,60749702,63092584,53227547,64157323,74113111,70418917,64218024,67512144,60576527,36079886,30741962,22651572,29885555,35765643,37811436,26265213,27708484,26318782,40348918,25160902,35882105,42702187,30717687,29565136,36109450,31254320,30560436,40742416,51042182,68121392,35641510,32942409,42832658,61630932,57265718,50730028,58287247,50195195,70364909,52446984,2196023,2744321,7473059,28140107,34918046,78526113,430631035,1121653109,36735272,28253762,32567000,37554218,58542526,42605700,28915421,26982140,24561065,42339922,40230035,38544191,869203818,633422236,433930952,245882923,267093106,676653548,672343560,710683415,291769885,276864398,63897103,53592805,47600596,71684652,60447168,30443621,51464965,51663275,70044394,78896356
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B","103.0 299.0 142.0 89.0 133.0 400.0 403.0 ",1156878,1689848,2976938,1723329,4265565,NA,2831377,2642896,2827570,2613894,NA,2310027,4923217,3531397,4072550,5415362,3591747,3921833,2011360,3478169,3977637,2861120,1754025,2795920,3511211,2073052,1376861,1660941,5763354,1630643,2154187,3191548,1468253,2812246,2214112,2345970,5693222,4657985,2747800,4255873,2305179,5982254,2403723,3946929,5352088,4298306,1225001,3869658,3277828,2979469,5227511,3648657,8311370,4044560,1752301,3757416,5976377,6172220,5801539,6586432,5238812,6212078,4897823,NA,NA,NA,NA,NA,NA,NA,NA,844204,3164401,6193100,4094365,10021477,10389963,4504057,4389450,4722448,10208699,10135194,NA,2052624,NA,NA,8128941,6073238,3149922,15657519,8470956,11996565,10805635,2382157,NA,5416994,11339402,8820555,831609,5046698,4713968,8677084,11425579
