Time,InhConc,Extract_vol,Unit
0,0,1.34E+07,count
2,0,6.35E+06,count
4,0,4.75E+06,count
8,0,7.22E+06,count
24,0,1.73E+07,count
0,0.1,1.34E+07,count
2,0.1,5.80E+06,count
4,0.1,5.39E+06,count
8,0.1,8.85E+06,count
24,0.1,1.48E+07,count
0,1,1.34E+07,count
2,1,5.65E+06,count
4,1,5.23E+06,count
8,1,7.10E+06,count
24,1,1.48E+07,count
0,10,1.34E+07,count
2,10,5.98E+06,count
4,10,6.45E+06,count
8,10,7.15E+06,count
24,10,1.92E+07,count
0,50,1.34E+07,count
2,50,6.23E+06,count
4,50,5.48E+06,count
8,50,8.03E+06,count
24,50,1.22E+07,count
